scenario_vehicle_id,manufacturer,vehicle_model,vehicle_class_for_scenario,battery_kwh,range_km,payload_kg,energy_consumption_kwh_per_km,range_test_basis,payload_note,scenario_use,source_id,source_url,source_quote_or_location,source_confidence
mitsubishi_fuso_ecanter_s_yamato,Mitsubishi Fuso,"eCanter S battery, Yamato deployment specification",light_duty_ev_truck,41.0,116,2000,,"MLIT reviewed value; 60 km/h, half loaded, flat body as described by source",Yamato deployment vehicle specification; payload varies by body and configuration.,baseline small EV truck,mitsubishi_fuso_ecanter_yamato_2023,https://www.mitsubishi-fuso.com/ja/news-main/press-release/2023/09/12/%E9%9B%BB%E6%B0%97%E5%B0%8F%E5%9E%8B%E3%83%88%E3%83%A9%E3%83%83%E3%82%AF%E3%80%8Cecanter%E3%80%8D%E6%96%B0%E5%9E%8B%E3%83%A2%E3%83%87%E3%83%AB%E7%B4%84900%E5%8F%B0%E3%82%92%E3%83%A4%E3%83%9E%E3%83%88/,"vehicle dimensions/spec section: rated capacity 41 kWh, range 116 km, max payload 2,000 kg",official
mitsubishi_fuso_ecanter_m_reference,Mitsubishi Fuso,eCanter M battery reference,light_duty_ev_truck,82.0,236,,,MLIT reviewed value reported in launch press release,Payload not extracted from source page for this battery size; use only for battery/range sensitivity.,medium battery sensitivity,mitsubishi_fuso_ecanter_launch_2023,https://www.mitsubishi-fuso.com/ja/news-main/press-release/2023/03/09/%E9%9B%BB%E6%B0%97%E5%B0%8F%E5%9E%8B%E3%83%88%E3%83%A9%E3%83%83%E3%82%AF%E3%80%8Cecanter%E3%80%8D%E6%96%B0%E5%9E%8B%E3%83%A2%E3%83%87%E3%83%AB%E3%82%92%E7%99%BA%E5%A3%B2/,"battery module section: 2 batteries, 236 km",official
mitsubishi_fuso_ecanter_l_reference,Mitsubishi Fuso,eCanter L battery reference,light_duty_ev_truck,123.0,324,,,MLIT reviewed value reported in launch press release,Payload not extracted from source page for this battery size; use only for battery/range sensitivity.,large battery sensitivity,mitsubishi_fuso_ecanter_launch_2023,https://www.mitsubishi-fuso.com/ja/news-main/press-release/2023/03/09/%E9%9B%BB%E6%B0%97%E5%B0%8F%E5%9E%8B%E3%83%88%E3%83%A9%E3%83%83%E3%82%AF%E3%80%8Cecanter%E3%80%8D%E6%96%B0%E5%9E%8B%E3%83%A2%E3%83%87%E3%83%AB%E3%82%92%E7%99%BA%E5%A3%B2/,"battery module section: 3 batteries, 324 km",official
isuzu_elfmio_ev_nhr,Isuzu,ELFmio EV standard cab NHR,light_duty_ev_truck,44.0,115,1050,,MLIT reviewed WLTC-related source value,Payload varies by body specification.,ordinary-license small truck scenario,isuzu_elf_ev_product,https://www.isuzu.co.jp/product/elf/ev/,ELFmio EV NHR section,official
isuzu_elf_ev_njr,Isuzu,ELF EV standard cab NJR,light_duty_ev_truck,44.0,120,2000,,MLIT reviewed source value,Payload varies by body specification.,baseline small EV truck,isuzu_elf_ev_product,https://www.isuzu.co.jp/product/elf/ev/,ELF EV NJR section,official
isuzu_elf_ev_high_cab,Isuzu,ELF EV high cab NLR/NMR,light_duty_ev_truck,66.0,180-190,2000,,MLIT reviewed source value,Payload varies by body specification.,medium battery truck scenario,isuzu_elf_ev_product,https://www.isuzu.co.jp/product/elf/ev/,ELF EV high cab section,official
isuzu_elf_ev_wide_cab,Isuzu,ELF EV wide cab NPR,light_duty_ev_truck,110.0,250,2950-3000,,MLIT reviewed source value,Payload varies by body specification.,large battery truck scenario,isuzu_elf_ev_product,https://www.isuzu.co.jp/product/elf/ev/,ELF EV wide cab NPR section,official
hino_dutro_z_ev_walkthrough,Hino,Dutro Z EV walkthrough van,light_duty_ev_truck,40.0,150,1000,,MLIT reviewed WLTC-mode source value,Walkthrough van specification.,urban last-mile EV truck scenario,hino_dutro_z_ev_2024,https://www.hino.co.jp/corp/news/2024/20240918-003755.html,Dutro Z EV specification table,official
hino_dutro_z_ev_aluminum_van,Hino,Dutro Z EV aluminum van with side door,light_duty_ev_truck,40.0,150,1050,,MLIT reviewed WLTC-mode source value,Aluminum van specification.,urban last-mile EV truck scenario,hino_dutro_z_ev_2024,https://www.hino.co.jp/corp/news/2024/20240918-003755.html,Dutro Z EV specification table,official
toyota_pixis_van_bev_2wd_deluxe,Toyota,Pixis Van BEV 2WD Deluxe,kei_commercial_ev_van,36.6,257,350 (200 with 4 passengers),0.161,MLIT reviewed WLTC-mode source value,Payload is 350 kg with 2 occupants; bracketed value is 4 occupants.,small commercial van scenario,toyota_pixis_van_bev_spec_2026,https://toyota.jp/pages/contents/pixisvan/002_b_001/pdf/pixisvan_spec_202606.pdf,Pixis Van BEV 2WD Deluxe specification table,official
