file,line,text,classification,reason
05_src/traffic_simulation/evrp_r16_constraints/build_constraint_spec.py,20," c('HC07','Time Window Constraint','Service start b_i satisfies e_i <= b_i <= l_i.','customer/service event','e_i,l_i,b_i','hours from local_day_start_00:00',True,tol['time_s'],'b_i < e_i-tol or b_i > l_i+tol','recompute service-start time in seconds','R07 explicitly defines service-start window.','R17/R20 mapping pending'),",KEEP_HISTORICAL,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/CLEANUP_PLAN.md,6,"- LR02/LR03/LR09: prohibit building=physical stop, daily rate=onboard load, capacity-bound=actual fleet. Fill affected request/stop/horizon/unit/validation fields before concrete data.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/CLEANUP_PLAN.md,15,"Concrete historical-schema targets: DC13–DC15 in `reproducibility/outputs/traffic_simulation/r24_demand_capacity_authority/20260914_v2/representative_instance_schema.md` require old hierarchy, horizon_days=1, daily mass and Q=2000; mark these provisions deprecated for R24 reuse before implementation. `reproducibility/outputs/traffic_simulation/r24_ota_population_preserving_cvrp_design/20260913_v1/HIERARCHICAL_REDUCTION_DESIGN.md` is historical comparison design, not new primary policy.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/END_TO_END_WORKFLOW_AUTHORITY.md,26,"Building is not an observed customer/physical stop (SUPERSEDED_SEMANTIC). 85,690 is synthetic household allocated building support;39,956 is positive-demand mapped buildings on the designated synthetic day. n is computational benchmark size, never statistical Ota sample size. New primary is repeated SRSWOR conditional on accepted eligible population; secondary structural cases; fixed anchors reference only. No seeds,n,r,groups or instances chosen here.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/END_TO_END_WORKFLOW_AUTHORITY.md,30,NEXT_EXECUTABLE_TASK = reconstruct request/event/temporal evidence,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/END_TO_END_WORKFLOW_FEASIBILITY_AUDIT.md,30,| Largest semantic conflict | Mandatory one-dispatch horizon in frozen interface vs general Planning Horizon; building stop proxy vs physical event is a second critical semantic boundary |,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/END_TO_END_WORKFLOW_FEASIBILITY_AUDIT.md,34,| Active STOPs | Generator provenance; service event/access; legacy dispatch/horizon membership; vehicle class; LOAD_UNIT_OPEN; concrete q/Q/m and downstream scoped guards |,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/END_TO_END_WORKFLOW_FEASIBILITY_AUDIT.md,51,追加精査: DC13–DC15は旧 representative_instance_schema.md の具体的なhierarchy／horizon_days=1／Q_kg=2000規定を特定したもの。旧設計として保存し、新R24での継承をdeprecatedとする。STOP_REPRESENTATIVENESS_UNVERIFIEDはsystem-scale empirical claimsに限定して維持。既存profileや用語warning自体が誤っているという主張と、誤継承リスクを区別した。,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/GATE_TO_STAGE_MAPPING.md,19,Requests→Stops→Horizon is conceptual: candidate stops/access can precede horizon review; final service-event identity depends jointly on compatible requests and accepted horizon. Never merge across horizon membership. A can define reproducible eligibility without constructing the concrete eligible-population file in an audit.,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/IMPLEMENTATION_ORDER.md,18,NEXT_EXECUTABLE_TASK = reconstruct request/event/temporal evidence,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/INSTANCE_GENERATION_POLICY.md,22,| Stable IDs | Existing stop_id is stable within saved building-day snapshot; not approved physical-stop/event ID |,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/INSTANCE_GENERATION_POLICY.md,29,"n is computational benchmark size. Set feasible ranges from exact/MILP validation, number of model/encoding variables, logical qubits, state memory, runtime and QAOA resource review. R23 n² encoding and lambda bounds do not define R24 resources. No small n=3/4/5 case is an Ota-representative sample. Record failed/time-limited instances; no redraw based on solver success, desired capacity binding or favorable outcomes. Duplicate physical stops require explicit mapping, not count inflation.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/PLANNING_HORIZON_OPTIONS.md,2,"Decision: **C — concrete horizon remains OPEN**. Evidence source: saved daily_requests.csv header, existing Gate A A1–A6 and DISPATCH_BATCH_SPEC.md; no fresh operational acquisition/reconstruction in this audit.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/PLANNING_HORIZON_OPTIONS.md,7,| One dispatch batch | Existing core has abstract finite one-dispatch set | UNSUPPORTED as observed membership; possible MODEL_ASSUMPTION proxy | No current DEP_006 manifest/territory/wave links. Abstract model label does not establish operational data |,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/PLANNING_HORIZON_OPTIONS.md,11,"A is not selected: operational evidence does not require dispatch batch. B is not selected now: a saved date makes day-based grouping plausible to review, but not approved as an R24 all-day load or executable horizon. C limits the next evidence task to request semantics, stop compatibility/access, available temporal information and operational/proxy evidence.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/PLANNING_HORIZON_OPTIONS.md,13,"Dispatch batch is a candidate specialization of Planning Horizon; independent empirical dispatch machinery is not mathematically necessary for finite-set atemporal CVRP. The existing specification nevertheless explicitly froze `horizon_semantics=one_dispatch_batch`. Therefore this is a documented interpretation/interface conflict, not a claim that only a harmless word swap is needed everywhere. Version the Level 2–3 amendment and parent hashes before concrete generation. Preserve one tour per used vehicle, no midroute reload, no scheduling claims. A day-based finite required set could be a controlled benchmark only after that review; it cannot represent multiple dispatches with a reused fleet under unchanged R24.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/PROVENANCE.md,8,"ASSET_HASH_VERIFICATION.csv compares current authority-declared outputs against local bytes. Raw input original URLs, versions, geography/time, units and classifications are in OPEN_DATA_INPUT_AUDIT.csv; declared vs rehashed scopes explicit. Unrecovered URLs/values stay unknown. No browsing, data acquisition, source freshness claim or external operational evidence adoption. No source request/access/batch membership reconstructed beyond inspection of existing header/authority statements. Gate A decision/pass = NONE.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/STOP_CONDITIONS.md,3,Preserve STOP_SERVICE_EVENT_DEFINITION_UNRESOLVED: blocks concrete event/access grouping.,KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/STOP_CONDITIONS.md,4,"Preserve STOP_DISPATCH_BATCH_DEFINITION_UNRESOLVED: keep legacy identifier for unaccepted concrete horizon/membership, even though dispatch-only interpretation is under amendment. No assertion that dispatch must exist. Do not drop this guard when vocabulary changes.",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,24,"patterns={'dispatch_batch':r'dispatch[ _-]batch|dispatch membership|one.dispatch|dispatch_batch_id','planning_horizon':r'planning[ _-]horizon|temporal.horizon','building_customer':r'building\s*=\s*customer|building.equals.customer|one customer equals|建物.{0,8}顧客','service_event':r'service[ _-]event','physical_stop':r'physical[ _-](delivery[ _-])?stop','daily_load':r'daily demand|daily.{0,15}(load|tour)|vehicle load|日需要|日次需要','capacity':r'Q\s*=\s*2,?000|payload.{0,30}2000|parcel.weight|capacity.dimension|capacity.{0,10}bind','sampling':r'representative|representativeness|random.instance|stratified.sampling|quartile|tertile|層化|代表性|階層.*抽出|n\s*=\s*[345]','economics':r'economic.outcome|TCO|C_op|C_\{op\}|電力.*単価|電気.*料金'}",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,62,"('S04','Delivery Requests','REQUIRES_UPSTREAM_GATE','Synthetic request rows exist; R24 source-use contract open','Saved daily_requests;scoped assignment','Versioned request dictionary and lineage; eventual request schema','request_id;source_snapshot;HH/building FK;source_date;content_count/unit;basis;indivisible unit','parcel-equivalent/request;date',G+'GATE_A_SERVICE_EVENT_BATCH.md','Saved CSV only; R24 schema not implemented','ID/FK/conservation tests to design after evidence review','No individual parcels; no clock timestamp; mass/volume unavailable','STOP_REQUEST_SOURCE_USE_UNACCEPTED','S05;S06','BLOCKS_CURRENT_IMPLEMENTATION',('PARTIAL','OPEN','READY','PARTIAL','READY','DESIGN_REQUIRED','CONDITIONAL')),",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,63,"('S05','Delivery Stops','REQUIRES_UPSTREAM_GATE','Building groups exist; event/access identity unresolved','Requests;building geometry;candidate access relations','Physical-stop proxy and event relationships','stop/access/event IDs;request children;CRS;edge+offset;mapping rule;compatibility;horizon FK','coordinates;m;content counts',F+'CUSTOMER_SERVICE_STOP_SPEC.md','Legacy building group artifact; R24 mapping absent','Unique IDs;no lost/duplicate requests;access and reachability pending','Apartment entrances and same-edge equivalence not established','STOP_SERVICE_EVENT_DEFINITION_UNRESOLVED','S06;S07','BLOCKS_CURRENT_IMPLEMENTATION',('PARTIAL','OPEN','DESIGN_REQUIRED','PARTIAL','READY','DESIGN_REQUIRED','CONDITIONAL')),",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,64,"('S06','Planning Horizon','REQUIRES_METHOD_DESIGN','Option C: concrete horizon remains OPEN','Request dates;available operational evidence;stop compatibility','Accepted horizon membership contract, later immutable population','horizon_id;type;scope;source_date;membership/hash;exclusions;source_use;one-tour rule','date;optional timestamps;member counts',G+'GATE_A_SERVICE_EVENT_BATCH.md','No accepted R24 horizon implementation','Coverage;disjointness;exclusions;compatibility tests proposed','Synthetic day supported as label only; dispatch/wave/shift unsupported','STOP_DISPATCH_BATCH_DEFINITION_UNRESOLVED','S07;Gate B','BLOCKS_CURRENT_IMPLEMENTATION',('PARTIAL','OPEN','DESIGN_REQUIRED','DESIGN_ONLY','READY','DESIGN_REQUIRED','CONDITIONAL')),",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
reproducibility/outputs/traffic_simulation/end_to_end_workflow_feasibility_audit/20260914_v2/build_audit.py,79," fields={'S01':['source version/URL/scope/unit completeness for later inputs'],'S02':['accepted endpoint/profile OD for new population'],'S03':['original generator','original config','scoped candidate/spatial prerequisites','RNG and stream order','software environment'],'S04':['accepted source-use mode','indivisible request definition','timestamp missing reason','load attribute basis'],'S05':['access_point_id evidence','physical_stop_id identity rule','aggregation compatibility','duplicate/apartment policy'],'S06':['horizon type acceptance','membership/exclusion policy','operational or proxy authority'],'S07':['eligible population hash','stop identity policy','seed list and RNG/version','n/r computational budget','suite metrics/thresholds','selection manifest schema'],'S08':['vehicle class/body authority','capacity dimension and common unit','q_i/Q authority','m rationale'],'S09':['R24 concrete accepted input','R24 executable model/validator'],'S10':['R24 solver config/version','optimality/termination validation','QUBO proof and resource review'],'S11':['metric denominator and units schema','energy boundary and validation'],'S12':['E_operation generation/boundary','electricity tariff source/unit/currency','temporal scope/scenario year'],'S13':['parameter-to-stage provenance','paired comparison contract']}[sid]",KEEP_CURRENT,valid terminology/limitations or historical evidence; no edit
