evaluation_item,synthetic_evrp_requirement,requirement_evidence_from_analysis,analysis_importance,quantum_vrp_coverage,representative_studies,reported_problem_scale,reported_constraint_coverage,quantum_execution_type,classical_baseline_status,evidence_level,evidence_gap,gap_basis,interpretation,reference_id,paper_title,authors,year,doi,url,page_or_section
Customer scale,"Factorial levels [25, 50, 100]; route-proxy analysis only",Directly varied in the factorial design,Directly varied in the factorial design,Reported in at least one reviewed study,QVRP-AZAD-2020; QVRPTW-LEONIDAS-2023; QHVRP-FITZEK-2024; QCVRP-ONAH-2025,Problem tuples (4;2); (5;2); (5;3) are reported; customer count is not disambiguated in the local note.; Not reported; 3 customers; Golden-5 example; customer count Not reported in local note,Generic VRP formulation; detailed operational constraints Not reported in local extraction note; Time windows reported; 11-3964 routes in testbed; customer and vehicle counts Not reported in local note; Heterogeneous vehicle capacities reported; other operational constraints Not reported; Capacity problem class reported; other operational constraints Not reported,Not reported in local extraction note; Quantum simulator and quantum hardware; Quantum simulation; Resource estimate,Not reported in local extraction note; Gurobi comparison reported; Not reported as a classical VRP solver baseline,Not reported in local extraction note; Quantum simulator and quantum hardware; Quantum simulation; Resource estimate,High,Reviewed evidence reports small/ambiguous problem tuples or route counts not comparable to 25-100 customers.,Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,QVRP-AZAD-2020; QVRPTW-LEONIDAS-2023; QHVRP-FITZEK-2024; QCVRP-ONAH-2025,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm; Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors; Applying quantum approximate optimization to the heterogeneous vehicle routing problem; Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk; Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis; David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum; Chinonso Onah; Kristel Michielsen,2020; 2023; 2024; 2025,10.1109/TITS.2022.3172241; 10.48550/arXiv.2306.08507; 10.1038/s41598-024-76967-w; 10.48550/arXiv.2509.11469,https://arxiv.org/abs/2002.01351; https://arxiv.org/abs/2306.08507; https://www.nature.com/articles/s41598-024-76967-w; https://arxiv.org/abs/2509.11469,literature/notes/01_vrp-2020-azad.md; literature/notes/04_vrptw-2023-leonidas.md; literature/notes/05_hvrp-2024-fitzek.md; literature/notes/16_cvrp-2025-onah-utility.md
Multiple vehicles,"Factorial levels [1, 3, 5]; KMeans assignment proxy",Directly varied in the factorial design,Directly varied in the factorial design,Reported in at least one reviewed study,QVRP-AZAD-2020; QHVRP-FITZEK-2024,Problem tuples (4;2); (5;2); (5;3) are reported; customer count is not disambiguated in the local note.; 3 customers,Generic VRP formulation; detailed operational constraints Not reported in local extraction note; Heterogeneous vehicle capacities reported; other operational constraints Not reported,Not reported in local extraction note; Quantum simulation,Not reported in local extraction note; Not reported as a classical VRP solver baseline,Not reported in local extraction note; Quantum simulation,Medium,"Some reviewed coverage exists, but operational scale/definition and evidence type do not match directly.",Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,QVRP-AZAD-2020; QHVRP-FITZEK-2024,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm; Applying quantum approximate optimization to the heterogeneous vehicle routing problem,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk; David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,2020; 2024,10.1109/TITS.2022.3172241; 10.1038/s41598-024-76967-w,https://arxiv.org/abs/2002.01351; https://www.nature.com/articles/s41598-024-76967-w,literature/notes/01_vrp-2020-azad.md; literature/notes/05_hvrp-2024-fitzek.md
Capacity,Route demand must not exceed one coherent vehicle payload specification,Current route-weighted unmet rate for Payload capacity: 0.000000; interpretation is assumption-dependent,Current route-weighted unmet rate for Payload capacity: 0.000000; interpretation is assumption-dependent,Reported in at least one reviewed study,QCVRP-PALACKAL-2023; QCVRP-XIE-2023; QHVRP-FITZEK-2024; QCVRP-ONAH-2025,Not reported; 3 customers; Golden-5 example; customer count Not reported in local note,Capacity represented at CVRP decomposition level; remaining operational constraints Not reported; Capacity feasibility addressed through constraint-preserving design; other operational constraints Not reported; Heterogeneous vehicle capacities reported; other operational constraints Not reported; Capacity problem class reported; other operational constraints Not reported,Classical emulation/simulation implied by local note; exact backend Not reported; Quantum simulation; Resource estimate,Not reported in local extraction note; Not reported as a classical VRP solver baseline,Classical emulation/simulation implied by local note; exact backend Not reported; Quantum simulation; Resource estimate,Medium,"Some reviewed coverage exists, but operational scale/definition and evidence type do not match directly.",Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,QCVRP-PALACKAL-2023; QCVRP-XIE-2023; QHVRP-FITZEK-2024; QCVRP-ONAH-2025,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem; A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem; Applying quantum approximate optimization to the heterogeneous vehicle routing problem; Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,Lilly Palackal; Benedikt Poggel; Matthias Wulff; Hans Ehm; Jeanette Miriam Lorenz; Christian B. Mendl; Ningyi Xie; Xinwei Lee; Dongsheng Cai; Yoshiyuki Saito; Nobuyoshi Asai; Hoong Chuin Lau; David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum; Chinonso Onah; Kristel Michielsen,2023; 2023; 2024; 2025,10.1109/QCE57702.2023.00080; 10.48550/arXiv.2308.08785; 10.1038/s41598-024-76967-w; 10.48550/arXiv.2509.11469,https://arxiv.org/abs/2304.09629; https://arxiv.org/abs/2308.08785; https://www.nature.com/articles/s41598-024-76967-w; https://arxiv.org/abs/2509.11469,literature/notes/02_cvrp-2023-palackal.md; literature/notes/03_cvrp-2023-xie.md; literature/notes/05_hvrp-2024-fitzek.md; literature/notes/16_cvrp-2025-onah-utility.md
Time windows,Operating-time limit evaluated; visit-level time windows Not evaluated,Current route-weighted unmet rate for Operating-time limit: 0.335185; interpretation is assumption-dependent,Current route-weighted unmet rate for Operating-time limit: 0.335185; interpretation is assumption-dependent,Reported in at least one reviewed study,QVRPTW-LEONIDAS-2023,Not reported,Time windows reported; 11-3964 routes in testbed; customer and vehicle counts Not reported in local note,Quantum simulator and quantum hardware,Gurobi comparison reported,Quantum simulator and quantum hardware,Medium,"Some reviewed coverage exists, but operational scale/definition and evidence type do not match directly.",Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,QVRPTW-LEONIDAS-2023,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,literature/notes/04_vrptw-2023-leonidas.md
Battery/SOC,Range threshold evaluated; sequential SOC feasibility Not evaluated,Current route-weighted unmet rate for Range feasibility: 0.644444; interpretation is assumption-dependent,Current route-weighted unmet rate for Range feasibility: 0.644444; interpretation is assumption-dependent,Not reported in the reviewed evidence set,None in the reviewed evidence set,Not reported,Not reported,Not reported,Not reported,Not reported,High,Requirement matters in the synthetic analysis and is not reported in the reviewed evidence set.,Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
Charging stations,Geographic candidate access evaluated; actual public availability Not evaluated,Current route-weighted unmet rate for Charging-station access: 0.106914; interpretation is assumption-dependent,Current route-weighted unmet rate for Charging-station access: 0.106914; interpretation is assumption-dependent,Not reported in the reviewed evidence set,None in the reviewed evidence set,Not reported,Not reported,Not reported,Not reported,Not reported,High,Requirement matters in the synthetic analysis and is not reported in the reviewed evidence set.,Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
Charging duration,Constant-power duration proxy evaluated only for eligible range-infeasible routes,Current route-weighted unmet rate for Charging-duration feasibility: 0.153021; interpretation is assumption-dependent,Current route-weighted unmet rate for Charging-duration feasibility: 0.153021; interpretation is assumption-dependent,Not reported in the reviewed evidence set,None in the reviewed evidence set,Not reported,Not reported,Not reported,Not reported,Not reported,High,Requirement matters in the synthetic analysis and is not reported in the reviewed evidence set.,Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
Multi-depot,Many depot candidates available but exactly one proxy depot selected per customer configuration,Not evaluated or not directly quantified in the current analysis,Not evaluated or not directly quantified in the current analysis,Not reported in the reviewed evidence set,None in the reviewed evidence set,Not reported,Not reported,Not reported,Not reported,Not reported,Not assessable,Current analysis does not quantify operational importance sufficiently for a gap classification.,Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
Heterogeneous vehicles,Not evaluated; one coherent vehicle scenario is used,Not evaluated or not directly quantified in the current analysis,Not evaluated or not directly quantified in the current analysis,Reported in at least one reviewed study,QHVRP-FITZEK-2024,3 customers,Heterogeneous vehicle capacities reported; other operational constraints Not reported,Quantum simulation,Not reported as a classical VRP solver baseline,Quantum simulation,Not assessable,Current analysis does not quantify operational importance sufficiently for a gap classification.,Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,QHVRP-FITZEK-2024,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,2024,10.1038/s41598-024-76967-w,https://www.nature.com/articles/s41598-024-76967-w,literature/notes/05_hvrp-2024-fitzek.md
Dynamic demand,Not evaluated,Not evaluated or not directly quantified in the current analysis,Not evaluated or not directly quantified in the current analysis,Not reported in the reviewed evidence set,None in the reviewed evidence set,Not reported,Not reported,Not reported,Not reported,Not reported,Not assessable,Current analysis does not quantify operational importance sufficiently for a gap classification.,Comparison is limited to the reviewed evidence registry; Not reported is not proof of absence from all literature.,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
