evidence_id,source,year,country,population,b2c_b2b,home_delivery,ec_origin,observation_unit,household_destination_identifiable,carrier_operator,sample_size,mass_unit,distribution_available,raw_data_available,available_statistic,collection_method,authority_class,r24_use,source_url
MLIT_OGAWA_2015,"MLIT Ogawa district joint-delivery demonstration",2015,Japan,"parcels delivered to a rural district; inter-company transport excluded","consumer-facing; B2C not fully proven",YES,NOT_IDENTIFIED,"daily aggregate in public report",NO,"three unnamed parcel carriers","152 parcels across 33 days (reported context)",kg,"chart only; no numerical parcel distribution",NO,"daily total-weight chart; parcel count/type/size context","carrier operational data supplied to demonstration",CLOSE_PROXY_EVIDENCE,"descriptive closest proxy; cannot define F_W",https://www.mlit.go.jp/common/001133514.pdf
MLIT_AIR_2024,"MLIT Domestic Air Cargo Flow Survey FY2024",2024,Japan,"domestic air cargo handled on one designated weekday","mixed/unknown",NO,NOT_IDENTIFIED,"shipment/case and piece aggregates",NO,"domestic air-cargo operators/agents","709 courier cases; 884 pieces; 4156 kg",kg,NO,NO,"aggregate counts and weight; implied 5.9 kg per case","official one-day census of handling operators",WEAK_PROXY_EVIDENCE,"context only; denominator and population mismatch",https://www.mlit.go.jp/koku/content/001896775.pdf
MLIT_AIR_2020,"MLIT Domestic Air Cargo Flow Survey FY2020",2020,Japan,"domestic air cargo on survey day","mixed/unknown",NO,NOT_IDENTIFIED,"shipment/case aggregates",NO,"domestic air-cargo operators/agents","2705 courier cases; 3487 pieces (repository review)",kg,NO,NO,"6.0 kg per case reported","official one-day operator survey",WEAK_PROXY_EVIDENCE,"historical context only",https://www.mlit.go.jp/statistics/details/content/001874283.pdf
MLIT_AIR_2007,"MLIT Domestic Air Cargo Flow Survey FY2007",2007,Japan,"domestic air cargo on survey day","mixed/unknown",NO,NOT_IDENTIFIED,"shipment/case and piece aggregates",NO,"domestic air-cargo operators/agents","85907 courier cases; 144855 pieces",kg,NO,NO,"928885 kg; 10.8 kg per case","official one-day operator survey",WEAK_PROXY_EVIDENCE,"historical context only",https://www.mlit.go.jp/statistics/details/content/001874296.pdf
MLIT_LOGISTICS_CENSUS_2021,"11th National Freight Flow Survey (Logistics Census)",2021,Japan,"shipments from mining manufacturing wholesale and warehousing establishments","primarily B2B; some individual consignee flows",NO,"retail/mail-order origin excluded",shipment,NO,NOT_APPLICABLE,"national establishment sample; three survey days",kg,"shipment weight exists in survey instrument; target subset not identifiable","public output is aggregate; controlled microdata application exists", "shipment-level fields in survey instrument","shipper establishment questionnaire",INCOMPATIBLE_POPULATION,"not primary; cannot isolate residential B2C courier parcels",https://www.mlit.go.jp/statistics/details/t-other-2_tk_000197.html
YAMATO_PUBLIC,"Yamato Transport public service/specification materials",2026,Japan,"eligible service items",MIXED,POSSIBLE,POSSIBLE,"service item",NO,Yamato Transport,NOT_REPORTED,kg,NO,NO,"size/weight eligibility limits only","commercial service rules",DESCRIPTIVE_ONLY,"limits are not observations",https://www.kuronekoyamato.co.jp/ytc/customer/send/services/takkyubin/
SAGAWA_PUBLIC,"Sagawa Express public service/specification materials",2026,Japan,"eligible service items",MIXED,POSSIBLE,POSSIBLE,"service item",NO,Sagawa Express,NOT_REPORTED,kg,NO,NO,"size/weight eligibility limits only","commercial service rules",DESCRIPTIVE_ONLY,"limits are not observations",https://www.sagawa-exp.co.jp/service/takuhai/
JAPANPOST_PUBLIC,"Japan Post Yu-Pack service materials",2026,Japan,"eligible service items",MIXED,POSSIBLE,POSSIBLE,"service item",NO,Japan Post,NOT_REPORTED,kg,NO,NO,"service limits; heavy Yu-Pack 25-30 kg","commercial service rules",DESCRIPTIVE_ONLY,"limits are not observations",https://www.post.japanpost.jp/service/you_pack/
RBP_STUDY_2025,"Roll-box pallet load-weight field study",2025,Japan,"loaded roll-box pallets at three logistics centers and one supermarket",MIXED,PARTIAL,NOT_IDENTIFIED,"roll-box pallet",NO,"multiple sites","1012 roll-box pallets",kg,"cage-level empirical distribution",NO,"cage-load observations/statistics","floor-scale measurement",INCOMPATIBLE_POPULATION,"no parcel denominator; not parcel mass",https://www.jstage.jst.go.jp/article/josh/19/1/19_JOSH-2025-0010-CHO/_html/-char/ja
SIP_11_8KG,"SIP-adus logistics synthesis using 11.8 kg per parcel",2021,Japan,"secondary model input derived from older freight material",MIXED,NOT_ESTABLISHED,NOT_ESTABLISHED,"assumed parcel average",NO,NOT_IDENTIFIED,"not a direct sample",kg,NO,NO,"mean 11.8 kg only","secondary synthesis/model parameter",WEAK_PROXY_EVIDENCE,"not a current residential B2C distribution",https://www.sip-adus.go.jp/rd/rddata/rd04/213.pdf
IPC_2017,"IPC Cross-Border E-Commerce Shopper Survey",2017,International,"cross-border online shoppers",B2C,YES,YES,"respondent-reported parcel",YES,"multiple postal/carrier channels","28892 respondents (prior repository review)",kg,"categorical bins",NO,"self-reported weight bins","consumer survey",WEAK_PROXY_EVIDENCE,"foreign cross-border sensitivity only",https://www.ipc.be/services/markets-and-regulations/cross-border-shopper-survey
