claim_id,slide_number,slide_element,claim_text,notebook_section,notebook_cell_label,input_files,processing_function,output_table,output_figure,evidence_status,reproducibility_status,limitation
CLM-S01,1,Toward Evaluating Problem Scale in Quantum Computing,Study identity,Sections 1–29,TRACE-S01,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 1,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S02,2,Why Technical Performance Alone Is Not Enough,Why Technical Performance Alone Is Not Enough,Sections 1–29,TRACE-S02,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 2,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S03,3,Why Transportation Is the Initial Application Domain,Why Transportation Is the Initial Application Domain,Sections 1–29,TRACE-S03,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 3,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S04,4,Research Question and Scope,Research Question and Scope,Sections 1–29,TRACE-S04,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 4,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S05,5,Core Logic of the Study,Requirements determine representation and resources,Sections 1–29,TRACE-S05,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 5,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S06,6,Literature Review: What Was Examined,Literature Review: What Was Examined,Sections 1–29,TRACE-S06,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 6,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S07,7,Key Finding 1: Circuit Width Cannot Be Interpreted from Scale Alone,Width cannot be interpreted from scale alone,Sections 1–29,TRACE-S07,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 7,REFERENCE_ONLY,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S08,8,Key Finding 2: Three Types of Application-Technology Gap,Three gaps coexist,Sections 1–29,TRACE-S08,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 8,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S09,9,Application-Side Definition,Relevance combines scale and constraint coverage,Sections 1–29,TRACE-S09,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 9,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S10,10,Exploratory Analysis for Defining Application Requirements,Exploratory Analysis for Defining Application Requirements,Sections 1–29,TRACE-S10,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 10,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S11,11,Scenario Construction and Data,Scenario Construction and Data,Sections 1–29,TRACE-S11,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 11,DERIVED,REPRODUCED,See section-specific boundary
CLM-S12,12,Generated Scenario and Route Proxy,Generated Scenario and Route Proxy,Sections 1–29,TRACE-S12,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 12,DERIVED,REPRODUCED,See section-specific boundary
CLM-S13,13,What the Constraint Results Imply for Modeling,Constraint results imply modeling requirements,Sections 1–29,TRACE-S13,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 13,DERIVED,REPRODUCED,See section-specific boundary
CLM-S14,14,Variation Across Scenarios and One-at-a-Time Parameter Changes,Sensitivity to assumptions,Sections 1–29,TRACE-S14,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 14,DERIVED,REPRODUCED,See section-specific boundary
CLM-S15,15,Comparison with Current Quantum-VRP Evidence,Comparison with Current Quantum-VRP Evidence,Sections 1–29,TRACE-S15,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 15,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S16,16,Research Contribution and Next Stage,Two future directions,Sections 1–29,TRACE-S16,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 16,DERIVED,CONCEPTUAL_SYNTHESIS,See section-specific boundary
CLM-S17,17,Appendix A: Detailed Open-Data Inputs,Appendix A: Detailed Open-Data Inputs,Sections 1–29,TRACE-S17,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 17,DERIVED,REPRODUCED,See section-specific boundary
CLM-S18,18,Appendix B: Scenario Design and Evaluation Settings,Appendix B: Scenario Design and Evaluation Settings,Sections 1–29,TRACE-S18,source deck; relevant frozen inputs,extract_slide_text / study functions,claim_evidence_traceability.csv,figure as applicable to slide 18,DERIVED,REPRODUCED,See section-specific boundary
