paper_id,research_purpose,problem,method_or_formulation,technical_stage,arl,width_extraction,depth_extraction,use_in_this_study,caution
qaoa-2014-farhi,QAOAの手法定義と記法を揃える,General combinatorial optimization / MaxCut,"cost Hamiltonian + mixer, p-layer alternating unitaries",theoretical definition,ARL 1,n logical qubits,<= m*p + p,"QAOAのp, cost Hamiltonian, mixer, width/depthの理論定義として使う",VRP/CVRP固有の資源値ではない
utility-2023-herrmann,ARLとquantum utilityの定義を支える,Quantum utility / application readiness,Application Readiness Levels (ARLs) + extended classification labels,ARL framework,methodology,直接抽出対象外,直接抽出対象外,ARLをwidth/depthの技術段階ラベルとして使う根拠,原論文のARLは5段階。本研究の分類はwidth/depth解釈用に再整理したもの
bench-2021-lubinski,width/depthを使ったベンチマーク方法論を支える,Application-oriented benchmark,volumetric benchmarking,benchmark methodology,methodology,circuit width = number of qubits,normalized circuit depth,width/depth空間で性能を読む方法論の根拠,VRP/CVRPの具体的資源要求ではない
vrptw-2023-leonidas,qubit-efficient encodingによるwidth削減の実例を見る,VRPTW,full encoding / minimal encoding,small-scale hardware/NISQ experiment,ARL 3,"5, 8, 11, 13, 16 qubits",L = 4,問題規模・route数を小さいqubit数へ圧縮する事例,L=4はansatz layerであり、実機transpile後depthではない
hvrp-2024-fitzek,HVRPでのQAOA適用とqubit scalingを見る,HVRP,Ising mapping + QAOA,small-scale simulation,ARL 2,"11, 19, 21 qubits",p = 1 to 5,QAOA layer depthとwidthの小規模シミュレーション例,実機実行ではない。depthはQAOA層数であり物理depthではない
cvrp-2025-onah-utility,CVRPの実用境界をwidth/depth/volumeで評価する,CVRP,QUBO vs HOBO/direct encoding resource estimation,resource estimation,ARL 4,HOBO 7685 qubits; QUBO 202505 qubits,HOBO Depth(N)=38425; QUBO depth not directly extracted,CVRPでの現実的な資源要求とgo/no-go境界の中核文献,Table 3のdepth/volumeは漸近仮定に基づく。QUBO depthは同表から直接抽出しない
encoding-2022-glos,qubit削減とdepth増加のトレードオフを支える,TSP / binary optimization,space-efficient / depth-efficient encodings,encoding theory,ARL 1,QUBO N^2; HOBO N log N; Mixed C N^(2-alpha) log N; Enumerating ceil(log(N!)),QUBO 12N; HOBO (4C^2 + 3C)N^2; Mixed 2 alpha^2 C N^(1+alpha) log^2 N; Enumerating Exponential,CVRP/VRPでqubitを減らすとdepthや高次項が増える背景,TSP中心の理論上界であり、CVRP/VRP個別インスタンス値ではない
vrp-2020-azad,VRP-QAOAの初期baselineを確認する,VRP,Ising formulation + QAOA,small-scale simulation,ARL 2,"(4,2): 12 qubits; (5,2): 20 qubits; (5,3): 20 qubits","(4,2): p = 12; (5,2): p = 6 to 40; (5,3): p = 24",VRPをQAOAへ写像した初期事例,Qiskit simulationの小規模baseline。depthはQAOA層数であり物理depthではない
vrp-2025-azfar-arxiv,gate-based実装での回路深さ・ノイズ課題を見る,VRP,link-based VRP formulation + QAOA,small-scale hardware/NISQ experiment,ARL 3,"6, 14, 30 qubits",p = 2,"実機実装パイプライン、penalty scaling, normalization, noiseの事例",arXiv版として引用。4/5-node行は成功例ではなく、gate/depth増加とinfeasibilityの警告として扱う
cvrp-2023-xie,penalty-inclusive QAOAのfeasibility問題と制約保存型mixerを見る,CVRP,feasibility-preserving AOA / Grover mixer,small-scale simulation,ARL 2,2N^2 + ceil(log2(Q+max(q)+1)) - 2 qubits,p pairs; experiments depth = 1 to 9,制約保存型AOAの資源要求とfeasibility改善の比較対象,register式はOCRに曖昧さがあるため本文構造から記録。MCT gateとbit-flip noiseによりNISQ適用は慎重
cvrp-2023-palackal,QAOA/VQE比較とCVRP分解の限界を見る,CVRP / TSP decomposition,"clustering + TSP, QAOA and VQE",small-scale simulation,ARL 2,"TSP subproblems 9, 16, 25 qubits",QAOA p = 5,QAOAがTSP/CVRP分解でfeasibility thresholdに届きにくい批判的根拠,CVRP全体の直接資源値ではなく、clustering後のTSP subproblem資源として扱う
