variable_id,source_id,country,city,year,variable_name,value,unit,spatial_level,temporal_level,analysis_axis,use_case_relevance,processing_rule,limitation,source_url,local_raw_path,status
ev_stock_japan_2025,iea_ev_2026,Japan,,2025,EV stock,720000,vehicles,country,annual,EV adoption stage,EV routing and charging-aware routing social context,Filtered IEA data by region/country=Japan category=Historical parameter=EV stock mode=Cars powertrain=EV,EV stock is contextual and not a route count or benchmark vehicle count,https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer,03_data/raw/iea/332_20260704_v02_ev_data_explorer_2026_existing_raw.xlsx,extracted
ev_sales_share_cars_japan_2025,iea_ev_2026,Japan,,2025,EV sales share - cars,3,percent,country,annual,EV adoption stage,EV transition speed context,Filtered IEA data by region/country=Japan category=Historical parameter=EV sales share mode=Cars powertrain=EV,Sales share does not directly define routing demand,https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer,03_data/raw/iea/332_20260704_v02_ev_data_explorer_2026_existing_raw.xlsx,extracted
ev_sales_share_vans_japan_2025,iea_ev_2026,Japan,,2025,EV sales share - vans,0.96,percent,country,annual,EV adoption stage,Last-mile delivery fleet electrification context,Filtered IEA data by region/country=Japan category=Historical parameter=EV sales share mode=Vans powertrain=EV,Van EV sales share is closer to logistics use case than cars but still not observed route demand,https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer,03_data/raw/iea/332_20260704_v02_ev_data_explorer_2026_existing_raw.xlsx,extracted
ev_stock_vans_japan_2025,iea_ev_2026,Japan,,2025,EV stock - vans,26000,vehicles,country,annual,EV adoption stage,Last-mile fleet electrification context,Filtered IEA data by region/country=Japan category=Historical parameter=EV stock mode=Vans powertrain=EV,Van stock is a national fleet-context indicator and not a single routing-instance vehicle count,https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer,03_data/raw/iea/332_20260704_v02_ev_data_explorer_2026_existing_raw.xlsx,extracted
public_fast_charging_points_japan_2025,iea_ev_2026,Japan,,2025,Publicly available fast charging points,11000,charging points,country,annual,Charging infrastructure context,National EV charging infrastructure context,Filtered IEA data by region/country=Japan category=Historical parameter=EV charging points mode=EVSE powertrain=Publicly available fast,National count is not geocoded and cannot alone support station-choice routing constraints,https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer,03_data/raw/iea/332_20260704_v02_ev_data_explorer_2026_existing_raw.xlsx,extracted
public_slow_charging_points_japan_2025,iea_ev_2026,Japan,,2025,Publicly available slow charging points,28000,charging points,country,annual,Charging infrastructure context,National EV charging infrastructure context,Filtered IEA data by region/country=Japan category=Historical parameter=EV charging points mode=EVSE powertrain=Publicly available slow,National count is not geocoded and cannot alone support station-choice routing constraints,https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer,03_data/raw/iea/332_20260704_v02_ev_data_explorer_2026_existing_raw.xlsx,extracted
electric_ldvs_per_charging_point_japan_2025,iea_ev_2026,Japan,,2025,Electric LDVs per charging point,19,vehicles,country,annual,Charging infrastructure pressure,National charging pressure context for EVRP relevance,Filtered IEA data by region/country=Japan category=Historical parameter=Electric LDVs per charging point mode=EV powertrain=EV,National ratio does not identify charging station locations or availability,https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer,03_data/raw/iea/332_20260704_v02_ev_data_explorer_2026_existing_raw.xlsx,extracted
lpi_timeliness_japan_2022,world_bank_lpi,Japan,,2022,LPI Timeliness,4,score 1-5,country,survey year,Timeliness pressure,Time-window and reliability context for logistics routing,Downloaded from World Bank API indicator LP.LPI.TIME.XQ for country JP,Country-level proxy and not city-specific delivery performance,https://api.worldbank.org/v2/country/JP/indicator/LP.LPI.TIME.XQ?format=json&per_page=100,03_data/raw/world_bank_lpi/401_20260704_japan_lpi_timeliness_worldbank_api_2026_07_04.json,extracted
lpi_infrastructure_japan_2022,world_bank_lpi,Japan,,2022,LPI Infrastructure,4.2,score 1-5,country,survey year,Logistics maturity,Logistics infrastructure background for routing implementation context,Downloaded from World Bank API indicator LP.LPI.INFR.XQ for country JP,Country-level proxy and not an operator workflow measure,https://api.worldbank.org/v2/country/JP/indicator/LP.LPI.INFR.XQ?format=json&per_page=100,03_data/raw/world_bank_lpi/400_20260704_japan_lpi_infrastructure_worldbank_api_2026_07_04.json,extracted
charging_stations_tokyo_geocoded_snapshot,open_charge_map,Japan,Tokyo,2026-07-04,Geocoded charging station count,173,stations,city,snapshot,Charging geospatial readiness,EVRP station-choice and charging-feasibility context,Open Charge Map stations within approximate Tokyo bounding box.,Bounding-box filter is approximate; OCM coverage/status may be incomplete.,https://www.openchargemap.org/develop/api,03_data/raw/charging_infrastructure/open_charge_map/tokyo/open_charge_map_tokyo_2026-07-04.json,extracted
road_network_density_tokyo_snapshot,osm_road_network,Japan,Tokyo,2026-07-04,Road network density,22.358,km per km2,city bounding box,snapshot,Urban network complexity,Tokyo road-network complexity proxy for charging-aware last-mile routing.,Read Geofabrik Kanto roads shapefile within Tokyo approximate bounding box; kept drivable road classes; road length projected to EPSG:6677 and divided by bbox area.,"Bounding-box proxy, not official Tokyo boundary. Road length depends on OSM completeness and included road classes.",https://download.geofabrik.de/asia/japan/kanto.html,03_data/raw/osm/tokyo/329_20260704_v02_kanto_260703_free_shp.zip,extracted
road_intersections_tokyo_snapshot,osm_road_network,Japan,Tokyo,2026-07-04,Road intersections,113710,intersection proxy count,city bounding box,snapshot,Urban network complexity,Tokyo road-network complexity proxy for charging-aware last-mile routing.,Counted rounded drivable-road endpoints shared by at least two road segments after projection.,Endpoint-based proxy; grade-separated crossings and unsplit geometries may be under/over-counted.,https://download.geofabrik.de/asia/japan/kanto.html,03_data/raw/osm/tokyo/329_20260704_v02_kanto_260703_free_shp.zip,extracted
population_density_tokyo_mesh,estat_mesh,Japan,Tokyo,2020,Population density,6402.6,persons per km2,prefecture,census,Demand concentration proxy,Tokyo population density proxy for customer-node concentration.,Tokyo-to population density from 2020 Population Census Table 1-1-3.,"This is Tokyo-to aggregate density, not grid-square density. Use as first-pass demand concentration proxy.",https://www.e-stat.go.jp/en/statistics/00200521,03_data/raw/estat/tokyo/326_20260704_v02_estat_2020_population_census_table_1_1_3_tokyo_2026_07_04.csv,extracted
gtfs_available_tokyo,gtfs_city,Japan,Tokyo,2026,gtfs available tokyo,1,binary,city,static feed,Smart city data readiness,Static mobility-data availability for the Tokyo subcase.,A static GTFS feed is available for Toei Bus in the Tokyo subcase.,Bus GTFS indicates static mobility-data readiness; it is not road traffic telemetry and is not a direct EV delivery-route demand dataset.,https://ckan.odpt.org/dataset,03_data/raw/smart_city/gtfs/tokyo/toei_bus_gtfs_2026-07-04.zip,extracted
traffic_api_available_tokyo,city_traffic_open_data,Japan,Tokyo,to collect,Traffic or smart-city API availability,to collect,binary or level,city,periodic or real-time,Smart city data readiness,Dynamic dispatch and reoptimization feasibility context,Record data type update frequency and API availability from Tokyo open-data or transport portal,City data definitions access rules and update quality vary,Tokyo open data URL to be filled,03_data/raw/smart_city/traffic/tokyo/,to_collect
population_tokyo_2020,estat_mesh,Japan,Tokyo,2020,,14047594,people,prefecture,census,Demand concentration proxy,Tokyo population density proxy for customer-node concentration.,Tokyo-to row from 2020 Population Census Table 1-1-3; 2020 population reconstructed from 2015 readjusted population plus 5-year population change.,Prefecture-level value; not mesh-level customer demand.,https://www.e-stat.go.jp/en/statistics/00200521,03_data/raw/estat/tokyo/326_20260704_v02_estat_2020_population_census_table_1_1_3_tokyo_2026_07_04.csv,extracted
area_tokyo_2020_reference,estat_mesh,Japan,Tokyo,2020,,2194.03,km2,prefecture,census,Demand concentration proxy,Tokyo population density proxy for customer-node concentration.,Tokyo-to reference area from 2020 Population Census Table 1-1-3.,Reference area used by the census table.,https://www.e-stat.go.jp/en/statistics/00200521,03_data/raw/estat/tokyo/326_20260704_v02_estat_2020_population_census_table_1_1_3_tokyo_2026_07_04.csv,extracted
road_length_tokyo_bbox_snapshot,osm_road_network,Japan,Tokyo,2026-07-04,,44893.807,km,city bounding box,snapshot,Urban network complexity,Tokyo road-network complexity proxy for charging-aware last-mile routing.,Total drivable road length in approximate Tokyo bounding box.,Auxiliary metric for interpreting road density.,https://download.geofabrik.de/asia/japan/kanto.html,03_data/raw/osm/tokyo/329_20260704_v02_kanto_260703_free_shp.zip,extracted
tokyo_bbox_area_snapshot,,Japan,Tokyo,2026-07-04,,2007.946,km2,,,,,Area of approximate Tokyo bounding box after projection to EPSG:6677.,Not the official Tokyo-to area.,,03_data/raw/osm/tokyo/329_20260704_v02_kanto_260703_free_shp.zip,extracted
fast_charger_share_tokyo_snapshot,open_charge_map,Japan,Tokyo,2026-07-04,Fast charger share proxy,0.2716,share of stations with known power,city,snapshot,Charging geospatial readiness,Charging-time constraint context for EVRP,Share of Tokyo OCM stations with max reported connection power >= 50 kW among stations with known power.,"PowerKW is missing for some stations; threshold is a proxy, not an official charger class.",https://www.openchargemap.org/develop/api,03_data/raw/charging_infrastructure/open_charge_map/tokyo/open_charge_map_tokyo_2026-07-04.json,extracted
gtfs_routes_tokyo,gtfs_city,Japan,Tokyo,2026,gtfs routes tokyo,151,routes,city,static feed,Smart city data readiness,Static mobility-data availability for the Tokyo subcase.,Number of routes in the Toei Bus GTFS feed. Agency: 都営バス.,"Public transit route count is a mobility-data availability indicator, not a logistics route count.",https://ckan.odpt.org/dataset,03_data/raw/smart_city/gtfs/tokyo/toei_bus_gtfs_2026-07-04.zip,extracted
