source_id,variable_id,variable_name,variable_group,extracted_evidence,expected_direction_for_problem_complexity,vrp_evrp_mapping,social_stage_relevance,quantum_relation,source_location,confidence,notes,readiness_axis,social_readiness_level,readiness_use,primary_evidence_status
iea-global-ev-outlook-2026,ev_stock,EV stock,social_exogenous,"IEA Global EV Data Explorer covers historical and projected EV sales, stock, charging infrastructure, and oil displacement.",Indicates scale of EV transition context but does not directly determine a single VRP instance size.,context variable for EV logistics scale,EV-integrated routing; large-scale dynamic EV logistics,classical_or_exogenous,IEA Global EV Outlook 2026 lines 243-245,medium,Do not convert EV stock directly to vehicles_K.,Technology readiness,SRL3-SRL4,"social background context, not direct Resource readiness",primary_source_registered
iea-ev-charging-2026,public_charging_capacity,Public charging capacity,infrastructure,IEA reports global public charging capacity per electric LDV rising from 4 kW to 4.5 kW between 2024 and 2025.,Higher charging capacity can ease EV adoption while adding charging-choice constraints to routing models.,charging_stations_S; charging_capacity,EV-integrated routing,classical_or_exogenous,IEA charging chapter line 351,medium,Public charging and depot charging should be separated.,Resource readiness,SRL3,infrastructure context affecting charging constraints,primary_source_registered
iea-ev-charging-2026,charging_speed,Average charging speed,infrastructure,IEA reports average charging-point speed rising from just over 40 kW in 2024 to nearly 50 kW in 2025.,Faster charging can reduce charging-time burden but still creates scheduling and station-choice decisions.,charging_time; charging station service time,EV-integrated routing,classical_or_exogenous,IEA charging chapter line 351,medium,Use directionally; not a direct quantum variable.,Constraint readiness,SRL3,charging-time constraint context,primary_source_registered
nrel-mdhd-charging-2024,duty_cycle,Duty cycle / vocation,operation,"NREL/OSTI notes diverse operational requirements and duty cycles across transit buses, school buses, medium trucks, and heavy trucks.",More diverse duty cycles increase heterogeneity and routing/charging constraints.,heterogeneous fleet; route duration; charging need,urban constrained logistics; EV-integrated routing,classical_or_exogenous,OSTI report lines 76 and 52,high,,Problem readiness,SRL3,fleet-operation heterogeneity context,primary_source_registered
nrel-mdhd-charging-2024,fleet_size,Fleet size range,operation,NREL/OSTI notes that fleet-size ranges present unique charging and infrastructure requirements.,Larger or more heterogeneous fleets increase routing and charging coordination complexity.,vehicles_K; fleet heterogeneity,EV-integrated routing,classical_or_exogenous,OSTI report line 76,medium,Fleet size may define scenario stage but should not be inferred from EV stock alone.,Resource readiness,SRL3,fleet-size scenario context; not inferred from EV stock,primary_source_registered
nrel-mdhd-charging-2024,depot_charging,Depot charging,infrastructure,NREL/OSTI identifies depot and other charging types as central for MD/HD charging requirements.,Depot charging introduces depot capacity and charging schedule constraints.,depots_D; depot charging capacity; charging schedule,EV-integrated routing,classical_or_exogenous,OSTI report line 52,high,,Constraint readiness,SRL3,depot charging and capacity constraint context,primary_source_registered
joint-office-2030-charging-network,charging_network_need,Public charging network need,infrastructure,"The 2030 charging report estimates national public charging network needs for 30-42 million PEVs by 2030 and stresses use cases, regions, and built environment.",Charging-network availability shapes feasible EV operations and charging-location constraints.,charging_stations_S; regional infrastructure,EV-integrated routing,classical_or_exogenous,2030 charging report lines 436-441,medium,"Use as infrastructure-stage context, not direct VRP instance size.",Resource readiness,SRL3,charging-network context; not direct K or N,primary_source_registered
joint-office-2030-charging-network,infrastructure_lead_time,Charging infrastructure lead time,infrastructure,The report notes charging infrastructure may need to come online before demand materializes.,Infrastructure timing can constrain or enable EV logistics stages.,charging availability; deployment timing,EV-integrated routing,classical_or_exogenous,2030 charging report lines 225-229,medium,,Technology readiness,SRL3-SRL4,deployment timing and system maturity context,primary_source_registered
cevrptw-customer-satisfaction-2025,time_windows,Time windows,operation_constraint,CEVRPTW includes customer earliest/latest service times that must be respected.,Tighter time windows increase feasibility and scheduling complexity.,time_windows_T,urban constrained logistics,classical_or_exogenous,MDPI lines 172-173,high,,Constraint readiness,SRL2,time-window constraint evidence,primary_source_registered
cevrptw-customer-satisfaction-2025,capacity_constraint,Vehicle capacity,operation_constraint,CEVRPTW considers limited EV load capacity.,Capacity constraints add feasibility restrictions and variables/penalties in formulations.,capacity_constraint_C,urban constrained logistics,classical_or_exogenous,MDPI lines 172-173,high,,Constraint readiness,SRL2,capacity constraint evidence,primary_source_registered
