field,current_setting,status,interpretation_note
survey_type,exploratory structured literature survey,DOCUMENTED,Not a systematic review or exhaustive scoping review
search_date,2026-07-13,DOCUMENTED,Date of the targeted primary-source verification for this revision
starting_population,"Research slides, local papers.csv, local primary-source PDFs, and circuit_resources.csv",DOCUMENTED,Earlier discovery process is NOT_DOCUMENTED
search_sources,Local primary-source PDF corpus; arXiv abstract records; Nature publisher article page,DOCUMENTED,No subscription database search was performed in this revision
search_terms,"Exact paper titles, author names, arXiv IDs 2306.08507/2308.08785/2509.11469, DOI 10.1038/s41598-024-76967-w, and within-document terms qubit/width/route/Table 3",DOCUMENTED,The illustrative Boolean query in the specification was not represented as an executed historic query
publication_period,No ex-ante period restriction documented,NOT_DOCUMENTED,"Current eligible local records span 2020-2025; this is an observed range, not a planned filter"
language_restriction,English-language local primary sources,DEFINED_DURING_ANALYSIS,A prior language restriction is NOT_DOCUMENTED
document_type,"Primary research articles, conference papers, and arXiv manuscripts containing a width value or formula",DEFINED_DURING_ANALYSIS,Reviews are retained as background but excluded from value synthesis
backward_citation_search,Not performed for this revision,NOT_PERFORMED,No exhaustive ancestry search claimed
forward_citation_search,Not performed for this revision,NOT_PERFORMED,No exhaustive citation-index search claimed
duplicate_removal,Current registry deduplicated by paper ID/DOI,DOCUMENTED,Historical duplicate-removal counts are NOT_DOCUMENTED
reviewer,Generative-AI-assisted extraction normalization; independent human literature reviewer NOT_DOCUMENTED,DOCUMENTED,Primary-source locators and validation results remain available for human review
preregistration,No preregistered survey protocol identified,NOT_DOCUMENTED,Criteria and visualizations added in the current revision are DEFINED_DURING_ANALYSIS
missing_information_policy,"Use Not reported, Not implemented, Not applicable, Insufficient information, MISSING, and NOT_DOCUMENTED distinctly",DOCUMENTED,Silence in a paper is never coded as Not implemented
