paper_id,problem,instance_or_scope,formulation_or_encoding,binary_variables_or_problem_size,circuit_width_qubits,circuit_depth,depth_definition,gate_or_volume_metric,shots_or_runs,hardware_or_backend,source_location,extraction_status,notes,width_numeric_recomputed,included_in_width_plot,width_extraction_reason
qaoa-2014-farhi,General combinatorial optimization; MaxCut,QAOA theoretical definition,p-layer alternating cost and mixer unitaries,n bits,n logical qubits,<= m*p + p,theoretical algorithmic upper bound,,,theory,qaoa-2014-farhi abstract/introduction,definition,"Definition-level resource scaling, not a measured instance value. Width is n computational/logical qubits; depth is an upper bound without exploiting instance structure.",,False,"not plotted: formula-only, methodology-only, missing, or non-numeric width statement"
bench-2021-lubinski,Application-oriented benchmark,benchmark methodology,volumetric benchmarking,problem size,circuit width = number of qubits,normalized circuit depth,normalized depth after transpilation to standard gate set,result fidelity; time-to-solution,,simulator; quantum hardware,bench-2021-lubinski Sections III.D-III.F,methodology,"Methodological source for using width/depth in volumetric benchmarking, not a VRP/CVRP resource value.",,False,"not plotted: formula-only, methodology-only, missing, or non-numeric width statement"
vrptw-2023-leonidas,VRPTW,11-route instance,full encoding,11 routes,11 qubits,L = 4,hardware-efficient ansatz layers; not transpiled hardware depth,CNOT gates plus single-qubit Y rotations repeated for L layers,"nshots=1000, 10000, infinity; 20 starting points",simulator; IBM; Rigetti; IonQ,vrptw-2023-leonidas Fig. 3 and Section VI.B,extracted,"Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth.",11.0,True,numeric qubit count at start of circuit_width_qubits
vrptw-2023-leonidas,VRPTW,16-route instance,full encoding,16 routes,16 qubits,L = 4,hardware-efficient ansatz layers; not transpiled hardware depth,CNOT gates plus single-qubit Y rotations repeated for L layers,nshots=10000; 20 starting points,simulator; IBM; Rigetti; IonQ,vrptw-2023-leonidas Fig. 4 and Section VI.B,extracted,"Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth.",16.0,True,numeric qubit count at start of circuit_width_qubits
vrptw-2023-leonidas,VRPTW,16-route instance,minimal encoding,16 routes,5 qubits,L = 4,hardware-efficient ansatz layers; not transpiled hardware depth,CNOT gates plus single-qubit Y rotations repeated for L layers,nshots=10000; 20 starting points,simulator; IBM; Rigetti; IonQ,vrptw-2023-leonidas Fig. 4 and Section VI.B,extracted,"Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The depth value is the ansatz layer count shared by the experiments, not backend-transpiled circuit depth.",5.0,True,numeric qubit count at start of circuit_width_qubits
vrptw-2023-leonidas,VRPTW,128-route instance,minimal encoding,128 routes,8 qubits,L = 4,hardware-efficient ansatz layers; not transpiled hardware depth,CNOT gates plus single-qubit Y rotations repeated for L layers,nmeas=10000,simulator,vrptw-2023-leonidas Fig. 6 and Section VI.B,extracted,"Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth.",8.0,True,numeric qubit count at start of circuit_width_qubits
vrptw-2023-leonidas,VRPTW,3964-route instance,minimal encoding,3964 routes,13 qubits,L = 4,hardware-efficient ansatz layers; not transpiled hardware depth,CNOT gates plus single-qubit Y rotations repeated for L layers,nmeas=10000,simulator,vrptw-2023-leonidas Fig. 6 and Section VI.B,extracted,"Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth.",13.0,True,numeric qubit count at start of circuit_width_qubits
hvrp-2024-fitzek,HVRP,problem instance I,Ising mapping,3 cities; 1 truck; routing 9 qubits; capacity 2 qubits,11 qubits,p = 1 to 5,QAOA layer depth p,Per QAOA layer: routing O(N0^2 V) single-qubit gates and O(N0^3 V) two-qubit gates; capacity O(N0^2 Q) two-qubit gates; physical circuit depth depends on hardware connectivity,10 optimizer runs per p in Fig. 9 for 11-qubit instance,simulation,hvrp-2024-fitzek Table 1; Figs. 7-9; resource estimate around Eq. 26,extracted,"The paper treats p as circuit depth and reports distributions/success probabilities from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",11.0,True,numeric qubit count at start of circuit_width_qubits
hvrp-2024-fitzek,HVRP,problem instance II,Ising mapping,4 cities; 1 truck; routing 16 qubits; capacity 3 qubits,19 qubits,p = 1 to 5,QAOA layer depth p,Per QAOA layer: routing O(N0^2 V) single-qubit gates and O(N0^3 V) two-qubit gates; capacity O(N0^2 Q) two-qubit gates; physical circuit depth depends on hardware connectivity,,simulation,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,extracted,"The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",19.0,True,numeric qubit count at start of circuit_width_qubits
hvrp-2024-fitzek,HVRP,problem instance III,Ising mapping,3 cities; 2 trucks; routing 18 qubits; capacity 3 qubits,21 qubits,p = 1 to 5,QAOA layer depth p,Per QAOA layer: routing O(N0^2 V) single-qubit gates and O(N0^3 V) two-qubit gates; capacity O(N0^2 Q) two-qubit gates; physical circuit depth depends on hardware connectivity,,simulation,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,extracted,"The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",21.0,True,numeric qubit count at start of circuit_width_qubits
