figure_id_or_table_id,title,classification,source_data,generating_cell,generating_function,output_path,interpretation,limitation
FIG-ROUTE,Representative route proxy,MODEL_DERIVED,route_edges; route_results,ROUTE-FIGURE-01,matplotlib,outputs/figures/representative_route_proxy.png,Shows algorithmic route proxy,Not road route/optimum
FIG-CONSTRAINT,Constraint unmet rates,REPRODUCED,constraint_summary,FIGURE-GENERATE-01,matplotlib,outputs/figures/constraint_rates_reproduced.png,Shows route-weighted synthetic rates,Not operational failures
FIG-CIRCUIT-UNVERIFIED,Unverified circuit-width slide references,REFERENCE_REPLOTTED,circuit_evidence,FIGURE-GENERATE-01,matplotlib,outputs/figures/circuit_width_reference_replotted.png,Shows only SOURCE_NOT_VERIFIED slide values,Excluded from verified survey synthesis
FIG-CIRCUIT-SIZE,Circuit width versus instance size,LITERATURE_DERIVED,circuit_width_survey_full,CIRCUIT-EVIDENCE-01,circuit_width_survey.plot_width_vs_size,outputs/figures/circuit_width_vs_instance_size.png,Compares values only in panels with a shared size unit,No cross-unit regression or performance ranking
FIG-CIRCUIT-CONSTRAINT,Constraint reporting coverage,LITERATURE_DERIVED,circuit_width_constraint_coverage,CIRCUIT-EVIDENCE-01,circuit_width_survey.plot_constraint_coverage,outputs/figures/circuit_width_constraint_coverage.png,"Distinguishes Reported, Not reported, Not applicable, and Insufficient information",Not reported is not evidence of non-implementation
FIG-CIRCUIT-COMPONENTS,Circuit-width components,LITERATURE_DERIVED,circuit_width_survey_full,CIRCUIT-EVIDENCE-01,circuit_width_survey.plot_components,outputs/figures/circuit_width_components.png,Shows reported routing/capacity components for eligible HVRP rows,No inferred decomposition for other studies
TABLE-PARAM,Parameter registry,DATA_DERIVED,source/config,PARAMETERS-CODE-01,pandas,outputs/tables/parameter_registry.csv,Central constants,Includes assumptions
TABLE-FW-REGISTRY,Future Work registry,PLANNING_ARTIFACT,future_work_registry,FUTURE-WORK-PLAN-CODE-01,future_work_plan.build_future_work_outputs,outputs/tables/future_work_registry.csv,"Records required work, inputs, methods, completion criteria, dependencies and impact",PLANNED_NOT_EXECUTED; not research results
TABLE-FW-ROADMAP,Future Work roadmap,PLANNING_ARTIFACT,future_work_roadmap,FUTURE-WORK-PLAN-CODE-01,future_work_plan.build_future_work_outputs,outputs/tables/future_work_roadmap.csv,Records phase order,No dates or durations asserted
TABLE-FW-ARTIFACTS,Future Work required artifacts,PLANNING_ARTIFACT,future_work_required_artifacts,FUTURE-WORK-PLAN-CODE-01,future_work_plan.build_future_work_outputs,outputs/tables/future_work_required_artifacts.csv,Defines future completion evidence,Listed future files are not generated now
TABLE-FW-VALIDATION,Future Work validation,VALIDATION,future_work_validation,FUTURE-WORK-PLAN-CODE-01,future_work_plan.validate_future_work,outputs/tables/future_work_validation.csv,Checks plan completeness and order,Does not validate feasibility of future execution
