original_path,sha256,file_size,reason_for_deletion,outdated_sections,valid_information_migrated,migration_destination,validation_status,deletion_timestamp
/Users/tstakuma/Desktop/github/research/CHANGELOG.md,f739060267693af3ef5d9bab19f6b30e2d3c57f3cf653e3fe2611d4dbb0e4056,3463,Mixed or superseded research Markdown consolidated into canonical documentation,old; deprecated; legacy; final,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/README.md,7cbbff727b71fd57e906d6dec999c7e8056490c2c2eb7274b28d2246a964b37a,9833,Mixed or superseded research Markdown consolidated into canonical documentation,deprecated; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/slides_14_20_content_plan.md,2614b895845af32b84be217295b684a95d9a59d283d7de18a13e0b8abcbc03e4,15774,Mixed or superseded research Markdown consolidated into canonical documentation,old,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/literature/12_circuit_resource_sources.md,b2d385094fd7ccd73d63eebf91f87075d834f88b2d6c49fbe3d7f52bbe8284d9,20547,Mixed or superseded research Markdown consolidated into canonical documentation,old; final; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_reference_inventory.md; 202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/literature/srl_qrl_requirement_evidence_network_design_rules_v2.md,30650560095fcf7f1895114e7c265247353ffbdb5e624996cd87da9a53143bd6,21745,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_reference_inventory.md; 202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/literature/57_srl_qrl_matrix_scoring_workflow.md,1d3493832b7cbf758d0501ee469a3ec240bb94542f353cfcda964c4028af1c69,5091,Mixed or superseded research Markdown consolidated into canonical documentation,old; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_reference_inventory.md; 202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/literature/13_extraction_analysis_record.md,1578850951318f10d6a9f40e1a4fec45882c98b2aa36c3030ac110df4641fc90,19942,Mixed or superseded research Markdown consolidated into canonical documentation,old; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_reference_inventory.md; 202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/literature/11_circuit_resource_extraction.md,4d7e25ee49164cb9c72b6704e399894f19cfb962cafb1203d263d1f79a031f64,7043,Mixed or superseded research Markdown consolidated into canonical documentation,old; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_reference_inventory.md; 202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/literature/23_social_quantum_readiness_alignment.md,24fa5c896e3a7792dd776a6fcffb6d5fa100bba0ffca5fdfb7bd04018c1618e6,10550,Mixed or superseded research Markdown consolidated into canonical documentation,/Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_reference_inventory.md; 202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/literature/15_roadmap_gap_table.md,6db7a510f387c565cbbbdc9baa3367f1cfebab107d36dc4894dee53604cbdbae,9547,Mixed or superseded research Markdown consolidated into canonical documentation,old; final; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_reference_inventory.md; 202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/literature/14_resource_table_summary.md,5f0b89255ea17720d4df078b77fd2b9ff721bd2af91df4772ce92e2cdfc6297e,5717,Mixed or superseded research Markdown consolidated into canonical documentation,old,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_reference_inventory.md; 202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/latex/README.md,6729b4ad869333c05995e9e0254b4e2253d55bfea88e31ad5a03b99ff7d9b8bd,1121,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",002_20260712_research_structure.md; 003_20260712_research_environment.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/deprecated_outputs/README.md,2b8982432e563bcc2a48db067c6f70ddb590ab2b1a745ec90b6e4d9cba6e2ae4,1129,Mixed or superseded research Markdown consolidated into canonical documentation,old; deprecated; legacy; revision,"research scope, methods, provenance, references, execution or asset context as applicable",001_20260712_readme.md; 002_20260712_research_structure.md; 006_20260712_folder_structure.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/presentations/README.md,57ecd03072a2762913338859bf2e5b3d362fde96494f40d087b662d5aef7c192,391,Mixed or superseded research Markdown consolidated into canonical documentation,旧,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/figures/README.md,4d375fae91cbe000a9c1f16307382006b697644b8c683154ddd5ddaed41dac95,877,Mixed or superseded research Markdown consolidated into canonical documentation,deprecated,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/future_design_analysis_methods/README.md,d1805df048eaab2d3a872ceac6937e54b4def94cbfa393934879855e6f341683,6370,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",202_20260712_analysis_method.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/outputs/stage_layer_table_d/stage_layer_table_d_summary.md,09ce75e274ed7a895ff9d21933a61ab95b3d19c1f4458db619aba8c451f98802,1099,Mixed or superseded research Markdown consolidated into canonical documentation,draft,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/outputs/stage_layer_table_d/qrl_wise_srl_score_summary.md,7fef40bdf2dcad16ecfaa3f87a0a1e652cd70d3a81c4f4b83e2eccef99505931,4674,Mixed or superseded research Markdown consolidated into canonical documentation,old,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/outputs/presentation_revision/from_technical_success_to_unseen_impacts_slide_revision_plan.md,a495aa4f0beaed497242f87e26c4db3102c62da7a1235f12afa26aa43769d502,35113,Mixed or superseded research Markdown consolidated into canonical documentation,old; revision; final; /Users/tstakuma/Desktop/github/research/,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/outputs/baseline_2025/table_socio_technical_baseline_2025.md,4223272c2e57bb2b38e489b32cf58216d0623badcf26a663aeb8e60f098a9fcc,1719,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
/Users/tstakuma/Desktop/github/research/outputs/slide_revision/unresolved_sources.md,b59b916c5c414f5137894b27efed6a09e0f3df9ba5c7a037e4aa7f701f1a2103,1109,Mixed or superseded research Markdown consolidated into canonical documentation,superseded structure/duplicated narrative,"research scope, methods, provenance, references, execution or asset context as applicable",203_20260712_presentation_asset_map.md; 005_20260712_cleanup_report.md,canonical destination created and non-empty,2026-07-11T19:46:15.247230+00:00
