paper_id,problem,problem_description,instance_or_scope,formulation_or_encoding,width_numeric,validation_stage,validation_stage_description,qrl_evidence_level,social_readiness_level,social_readiness_label,social_condition,corresponding_quantum_readiness,social_readiness_score,problem_readiness,problem_readiness_score,data_workflow_readiness,data_workflow_readiness_score,constraint_readiness,constraint_readiness_score,resource_readiness,social_resource_readiness_score,technology_readiness,social_technology_readiness_score,social_score_rule,srl_qrl_relation,srl_assignment_basis,srl_assignment_confidence,source_location
cvrp-2025-onah-utility,CVRP,Capacitated Vehicle Routing Problem.,"Golden_5 CVRP benchmark instance: 200 customers, 5 vehicles, capacity 900",QUBO,202505,Resource estimation,Resource estimate only,QRL4,SRL4,dynamic EV logistics,"Large-scale or dynamic EV logistics with changing demand, traffic, charging congestion, and frequent reoptimization",QRL4,2.2,high,2,high,2,high,2,very_high,3,high,2,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,stage-aligned,"Large benchmark-scale CVRP resource estimate; used as social-side resource-readiness pressure, not as hardware execution evidence.",medium,cvrp-2025-onah-utility Table 3; Table 1
cvrp-2025-onah-utility,CVRP,Capacitated Vehicle Routing Problem.,"Golden_5 CVRP benchmark instance: 200 customers, 5 vehicles, capacity 900",HOBO/direct encoding,7685,Resource estimation,Resource estimate only,QRL4,SRL4,dynamic EV logistics,"Large-scale or dynamic EV logistics with changing demand, traffic, charging congestion, and frequent reoptimization",QRL4,2.2,high,2,high,2,high,2,very_high,3,high,2,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,stage-aligned,"Large benchmark-scale CVRP resource estimate; used as social-side resource-readiness pressure, not as hardware execution evidence.",medium,cvrp-2025-onah-utility Table 3; Fig. 1; Table 1
vrp-2025-azfar-arxiv,VRP,Vehicle Routing Problem.,5-node VRP instance,edge-based link QUBO / QAOA,30,Hardware run / target,Hardware execution or hardware-targeted transpilation evidence,QRL3,SRL1,simple routing need,"Small fleet, small customer set, static routing, limited constraints",QRL1,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.",medium,vrp-2025-azfar-arxiv Section 4.3; Figs. 8-10
vrp-2025-azfar-arxiv,VRP,Vehicle Routing Problem.,4-node VRP instance,edge-based link QUBO / QAOA,14,Hardware run / target,Hardware execution or hardware-targeted transpilation evidence,QRL3,SRL1,simple routing need,"Small fleet, small customer set, static routing, limited constraints",QRL1,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.",medium,vrp-2025-azfar-arxiv Section 4.3
vrp-2025-azfar-arxiv,VRP,Vehicle Routing Problem.,"3-node, 2-vehicle VRP instance",edge-based link QUBO / QAOA,6,Hardware run / target,Hardware execution or hardware-targeted transpilation evidence,QRL3,SRL1,simple routing need,"Small fleet, small customer set, static routing, limited constraints",QRL1,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.",medium,vrp-2025-azfar-arxiv Section 4.1-4.3; Fig. 4
cvrp-2023-palackal,CVRP / TSP decomposition,CVRP treated through decomposition into TSP subproblems.,6-node TSP subproblem from CVRP decomposition,clustering + TSP; QAOA and hardware-efficient VQE,25,Simulator + hardware check,Simulation evidence with hardware-aware or hardware-platform checks,QRL3,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,Capacity or decomposed routing conditions are present; this supports constrained routing readiness rather than EV-integrated operation.,medium,cvrp-2023-palackal Section IV; Fig. 3; Table II
vrp-2020-azad,VRP,Vehicle Routing Problem.,"5-location, 2-vehicle VRP instance",edge-based Ising/QAOA encoding,20,Simulator + hardware check,Simulation evidence with hardware-aware or hardware-platform checks,QRL3,SRL1,simple routing need,"Small fleet, small customer set, static routing, limited constraints",QRL1,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.",medium,vrp-2020-azad Section V.B; Figs. 5-6
vrp-2020-azad,VRP,Vehicle Routing Problem.,"5-location, 3-vehicle VRP instance",edge-based Ising/QAOA encoding,20,Simulator + hardware check,Simulation evidence with hardware-aware or hardware-platform checks,QRL3,SRL1,simple routing need,"Small fleet, small customer set, static routing, limited constraints",QRL1,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.",medium,vrp-2020-azad Fig. 3; Section V.C
cvrp-2023-palackal,CVRP / TSP decomposition,CVRP treated through decomposition into TSP subproblems.,5-node TSP subproblem from CVRP decomposition,clustering + TSP; QAOA and hardware-efficient VQE,16,Simulator + hardware check,Simulation evidence with hardware-aware or hardware-platform checks,QRL3,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,Capacity or decomposed routing conditions are present; this supports constrained routing readiness rather than EV-integrated operation.,medium,cvrp-2023-palackal Section IV; Table I; Table II; Table III
vrptw-2023-leonidas,VRPTW,Vehicle Routing Problem with Time Windows.,16-route candidate set,full encoding,16,Simulator + hardware check,Simulation evidence with hardware-aware or hardware-platform checks,QRL3,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,"Time-window routing conditions are specified, but EV charging or dynamic operational workflow is not the reported instance focus.",medium,vrptw-2023-leonidas Fig. 4 and Section VI.B
vrp-2020-azad,VRP,Vehicle Routing Problem.,"4-location, 2-vehicle VRP instance",edge-based Ising/QAOA encoding,12,Simulator + hardware check,Simulation evidence with hardware-aware or hardware-platform checks,QRL3,SRL1,simple routing need,"Small fleet, small customer set, static routing, limited constraints",QRL1,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.",medium,vrp-2020-azad Fig. 2; Section V.A
vrptw-2023-leonidas,VRPTW,Vehicle Routing Problem with Time Windows.,11-route candidate set,full encoding,11,Simulator + hardware check,Simulation evidence with hardware-aware or hardware-platform checks,QRL3,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,"Time-window routing conditions are specified, but EV charging or dynamic operational workflow is not the reported instance focus.",medium,vrptw-2023-leonidas Fig. 3 and Section VI.B
cvrp-2023-palackal,CVRP / TSP decomposition,CVRP treated through decomposition into TSP subproblems.,4-node TSP subproblem from CVRP decomposition,clustering + TSP; QAOA and hardware-efficient VQE,9,Simulator + hardware check,Simulation evidence with hardware-aware or hardware-platform checks,QRL3,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,Capacity or decomposed routing conditions are present; this supports constrained routing readiness rather than EV-integrated operation.,medium,cvrp-2023-palackal Section IV; Table I; Table II; Table IV
vrptw-2023-leonidas,VRPTW,Vehicle Routing Problem with Time Windows.,16-route candidate set,minimal encoding,5,Simulator + hardware check,Simulation evidence with hardware-aware or hardware-platform checks,QRL3,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,"Time-window routing conditions are specified, but EV charging or dynamic operational workflow is not the reported instance focus.",medium,vrptw-2023-leonidas Fig. 4 and Section VI.B
hvrp-2024-fitzek,HVRP,Heterogeneous Vehicle Routing Problem.,HVRP instance III: 3 cities and 2 trucks,Ising mapping,21,Classical simulation,Quantum algorithm evaluated on a classical simulator,QRL2,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,stage-aligned,"Vehicle/truck heterogeneity is present, but the reported instance remains small and does not include EV charging or dynamic workflow requirements.",medium,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26
hvrp-2024-fitzek,HVRP,Heterogeneous Vehicle Routing Problem.,HVRP instance II: 4 cities and 1 truck,Ising mapping,19,Classical simulation,Quantum algorithm evaluated on a classical simulator,QRL2,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,stage-aligned,"Vehicle/truck heterogeneity is present, but the reported instance remains small and does not include EV charging or dynamic workflow requirements.",medium,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26
vrptw-2023-leonidas,VRPTW,Vehicle Routing Problem with Time Windows.,3964-route candidate set,minimal encoding,13,Classical simulation,Quantum algorithm evaluated on a classical simulator,QRL2,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,stage-aligned,"Time-window routing conditions are specified, but EV charging or dynamic operational workflow is not the reported instance focus.",medium,vrptw-2023-leonidas Fig. 6 and Section VI.B
hvrp-2024-fitzek,HVRP,Heterogeneous Vehicle Routing Problem.,HVRP instance I: 3 cities and 1 truck,Ising mapping,11,Classical simulation,Quantum algorithm evaluated on a classical simulator,QRL2,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,stage-aligned,"Vehicle/truck heterogeneity is present, but the reported instance remains small and does not include EV charging or dynamic workflow requirements.",medium,hvrp-2024-fitzek Table 1; Figs. 7-9; resource estimate around Eq. 26
vrptw-2023-leonidas,VRPTW,Vehicle Routing Problem with Time Windows.,128-route candidate set,minimal encoding,8,Classical simulation,Quantum algorithm evaluated on a classical simulator,QRL2,SRL2,urban constrained routing,"Urban last-mile or commercial routing with capacity, time windows, depot constraints, and service constraints",QRL2,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,stage-aligned,"Time-window routing conditions are specified, but EV charging or dynamic operational workflow is not the reported instance focus.",medium,vrptw-2023-leonidas Fig. 6 and Section VI.B
