axis_id,axis_name,candidate_values,screening_role,evidence_source
A1,routing_problem_type,CVRP; VRPTW; EVRP; E-VRPTW; dynamic VRP; pickup-delivery VRP,Defines the mathematical routing problem family.,cevrptw-customer-satisfaction-2025; evrptw-2014-schneider; dvrp-2013-pillac; figure_1_presentation_plot_data.csv
A2,fleet_type,delivery vans; medium/heavy-duty trucks; mixed fleet; service fleet; passenger EV fleet,Links the routing problem to EV/logistics operations.,nrel-mdhd-charging-2024; commercial-ev-routing-urban-2020; iea-global-ev-outlook-2026
A3,operation_context,urban last-mile; depot-based fleet routing; corridor logistics; emergency dispatch; regional delivery,Defines where the use case appears operationally.,commercial-ev-routing-urban-2020; joint-office-2030-charging-network; nrel-mdhd-charging-2024
A4,constraint_set,capacity; time windows; SOC; charging station choice; charging time; depot/grid capacity; dynamic demand,Identifies the constraints that make the use case socially specific.,evrptw-2014-schneider; evrptw-charging-models-2024; nrel-mdhd-charging-2024; dvrp-2013-pillac
A5,decision_frequency,daily planning; shift-level planning; intra-day reoptimization; real-time dispatch,Separates static planning problems from workflow-intensive dynamic problems.,dvrp-2013-pillac; 206_20260626_social_quantum_readiness_alignment.csv
A6,data_readiness,synthetic benchmark; public benchmark; literature case study; operator data; real-time telemetry,Screens whether a use case can be benchmarked and audited.,figure_1_presentation_plot_data.csv; vrptw-2023-leonidas; cvrp-2023-palackal
A7,quantum_formulation,QUBO; Ising; route-based encoding; decomposition; HOBO/direct; hybrid heuristic,Maps the use case to possible quantum optimization formulations.,200_20260625_circuit_resources.csv; figure_1_presentation_plot_data.csv
A8,current_quantum_evidence,formulation; classical simulation; hardware-aware check; hardware run/target; resource estimate,Records the current evidence level without treating it as deployment readiness.,figure_1_presentation_plot_data.csv; 202_20260625_quantum_readiness_evidence.csv
A9,benchmark_scale,toy; small constrained; candidate-route set; benchmark-scale resource estimate; operational proxy,Separates toy benchmarks from socially meaningful operational proxies.,figure_1_presentation_plot_data.csv; outputs/scale_gap/quantum_benchmark_scale_extracted.csv
A10,evaluation_metric,feasibility; objective cost; runtime; route validity; charging feasibility; service quality; energy cost,Defines what success should mean for each use case.,205_20260626_roadmap_gap_matrix.csv; 206_20260626_social_quantum_readiness_alignment.csv
A11,urban_network_complexity,low road density; medium road density; dense urban grid; multimodal urban network; restricted-access network,Uses OSM/Overture/e-Stat style open data to judge whether the routing environment is spatially complex enough to justify an urban routing benchmark.,OpenStreetMap; Overture Maps; e-Stat population mesh; national geospatial open data
A12,smart_city_data_readiness,no public mobility data; static open data; GTFS/static transport data; traffic-count or sensor data; real-time API/telemetry,"Screens whether dynamic dispatch, reoptimization, or data-driven benchmark construction can be supported by public smart-city data.",GTFS feeds; city open data portals; traffic sensor open data; smart-city API catalogs
A13,charging_geospatial_readiness,no geocoded charger data; station locations only; charger type/power available; availability/status data; depot/grid capacity data,Determines whether EV routing constraints can be grounded in charging infrastructure data rather than treated as abstract constraints.,Open Charge Map; EAFO; NREL AFDC; national charging infrastructure datasets
