file_or_scope,location,classification,current_issue,minimal_migration
reproducibility/outputs/traffic_simulation/r24_data_gate_execution_pipeline/20260914_v1/R24_DATA_GATE_EXECUTION_PIPELINE.md,"15,49",REWRITE,batch service events and stale NEXT,finite required benchmark customer nodes within planning_horizon_id; NEXT points to completed horizon decision then routing-proxy remediation
reproducibility/outputs/traffic_simulation/r24_data_gate_execution_pipeline/20260914_v1/GATE_A_SERVICE_EVENT_BATCH.md,"A3,A5,A6",REWRITE,mandatory dispatch-batch membership,source-horizon membership plus optional typed dispatch_id; preserve event/access and conservation gates
reproducibility/outputs/traffic_simulation/r24_problem_data_spec_freeze_review/20260914_v1/R24_PROBLEM_DATA_SPEC_FREEZE_REVIEW.md,sections 2-4,REWRITE,one dispatch batch / within batch,source horizon plus separate optimization instance; preserve one tour per used vehicle and no reload within each instance
reproducibility/outputs/traffic_simulation/r24_problem_data_spec_freeze_review/20260914_v1/DISPATCH_BATCH_SPEC.md,whole document,REWRITE,dispatch as mandatory horizon,retain as conditional dispatch specialization; introduce general Planning Horizon contract in a new version
reproducibility/outputs/traffic_simulation/r24_problem_data_spec_freeze_review/20260914_v1/R24_DATA_SPECIFICATION_DRAFT.md,batches/events/demands/instance_manifest,REWRITE,required batch_id/horizon_semantics=one_dispatch_batch,planning_horizon_id required; dispatch_id nullable/conditional; source horizon and instance manifest separated
reproducibility/outputs/traffic_simulation/r24_problem_data_spec_freeze_review/20260914_v1/CUSTOMER_SERVICE_STOP_SPEC.md,event cardinalities,REWRITE,within one batch,within one optimization instance/planning-horizon specialization; no building/event/access equality
reproducibility/outputs/traffic_simulation/pipeline_authority_and_r24_capacity_plan/20260914_v1/R24_CAPACITY_PIPELINE.md,9-10,REWRITE,proposed one-dispatch horizon and within-batch load,controlled optimization instance; no operational dispatch claim
reproducibility/outputs/traffic_simulation/pipeline_authority_and_r24_capacity_plan/20260914_v1/CUSTOMER_TERMINOLOGY.md,16,REWRITE,dispatch_batch_id mandatory-looking contract field,planning_horizon_id required; dispatch_id conditional
reproducibility/outputs/traffic_simulation/r24_demand_capacity_authority/20260914_v2/representative_instance_schema.md,horizon_days=1,MARK_SUPERSEDED,day scalar tied to legacy assumed-load instance,not reusable as current R24 horizon schema
reproducibility/outputs/traffic_simulation/r24_demand_capacity_authority/20260914_v2/build_review.py and validate_review.py,horizon_days assertions,MARK_SUPERSEDED,legacy generated/validated one-day assumption,do not reuse for R24; preserve files unchanged
R05/R07/R15-R23 archived demand/time-window/route fixtures,historical scope,KEEP_HISTORICAL,"old selections, fixture times and route contexts",retain for original evidence/regression only; never infer current horizon membership
