priority,model_component,source_type,title,organization,year_or_release,table_or_id,use_in_model,notes,url
必須,産業群の定義,公式分類,日本標準産業分類 第13回（平成25年10月改定）の概要,e-Stat / 総務省,2013改定（2020国勢調査対応分類）,分類改定概要,金属素材群・化学/高分子素材群・無機素材群への再編基準,2020年国勢調査の産業分類整合を優先するなら第13回改定を基準にするのが安全。,https://www.e-stat.go.jp/classifications/terms/revisions/10/03
補助,分類対応表,公式分類,日本標準産業分類 改定の状況一覧,e-Stat / 総務省,2023改定を含む,改定状況一覧,将来の分類対応表作成や第13回→第14回の対応確認,主分析の基準分類にはしないが、将来更新時の対応付けに有用。,https://www.e-stat.go.jp/classifications/terms/revisions/10
必須,国勢調査データの総覧,公式統計ページ,令和2年国勢調査 調査の結果,総務省統計局,2022公表,結果総覧,使用表の全体位置づけ確認、公表区分の確認,従業地・通学地集計、抽出詳細集計の入口ページ。,https://www.stat.go.jp/data/kokusei/2020/kekka.htm
必須,国勢調査データの利用手順,公式PDF,令和2年国勢調査 調査結果の利用案内（ユーザーズガイド）,総務省統計局,2025-08-04最終更新,u_guide_2020.pdf,表検索、利用上の注意、分類事項一覧の確認,統計表の取得手順と引用・加工時の注意の確認用。,https://www.stat.go.jp/data/kokusei/2020/kekka/pdf/u_guide_2020.pdf
推奨,起点→都市の通勤・通学流動,e-Stat統計表,従業・通学市区町村，男女別通勤者・通学者数－全国，都道府県，市区町村（常住地）,e-Stat / 総務省,2020年10月,表6-1 / 統計表表示ID 0003454527 / file lid 000001296018,起点地域から主要都市への流動量の原表,通勤者と通学者が合算されるため，就業流動に限定する主分析では6-2の併用が望ましい。,https://www.e-stat.go.jp/index.php/stat-search/database?cycle=0&layout=datalist&month=24101210&statdisp_id=0003454527&tclass1=000001136469&tclass2val=0&toukei=00200521&tstat=000001136464&year=20200
必須,起点→都市の通勤流動,e-Stat統計表,従業・通学市区町村，男女別通勤者数（15歳以上）－全国，都道府県，市区町村（常住地）,e-Stat / 総務省,2020年10月,表6-2,通勤者に限定した起点地域→都市の基礎流動量,研究対象が就業流動であるため，6-1よりこちらが主表に適する。,https://www.e-stat.go.jp/stat-search/files?collect_area=000&cycle=0&layout=datalist&page=1&result_page=1&stat_infid=000032214494&tclass1=000001136469&tclass2val=0&toukei=00200521&tstat=000001136464
最重要,起点地域×都市×産業群流動,e-Stat統計表,産業（大分類），従業地・通学地別就業者数（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口20万以上の市（常住地）,e-Stat / 総務省,2020年10月,表9 / 統計表表示ID 0003454532,起点地域別に，どの都市へ，どの産業の就業者が向かうかを産業大分類レベルで取得,七都市を含む。公開表の中では，研究計画の起点地域×都市×産業群に最も近い核データ。,https://www.e-stat.go.jp/index.php/stat-search/database?cycle=0&layout=datalist&page=1&result_page=1&statdisp_id=0003454532&tclass1=000001136469&tclass2val=0&toukei=00200521&tstat=000001136464
必須,自動車依存度の代理指標,e-Stat統計表,利用交通手段の種類数・利用交通手段，常住地又は従業地・通学地別通勤者・通学者数（15歳以上）－全国，都道府県，市区町村,e-Stat / 総務省,2020年10月,表17-2 / 統計表表示ID 0003454513,常住地または従業地側の自動車依存度指標の構成,起終点対ごとの直接値ではないため，旅客地域流動調査等と補完して用いるのが妥当。,https://www.e-stat.go.jp/dbview?sid=0003454513
推奨,産業群の再編精緻化,e-Stat統計表,男女，産業（中分類）別就業者数（15歳以上）－全国，都道府県，21大都市，21大都市の区，県庁所在市，人口10万以上の市（従業地・通学地）,e-Stat / 総務省,2020年10月,抽出詳細集計 表18-3 / 統計表表示ID 0003464368,化学工業，プラスチック製品，ゴム製品，窯業・土石製品，鉄鋼業，非鉄金属製造業などを用いた三産業群再編,抽出詳細集計なので標本誤差を含む点に注意。,https://www.e-stat.go.jp/stat-search/database?layout=datalist&page=1&statdisp_id=0003464368&tclass1=000001136468&toukei=00200521&tstat=000001136464
推奨,広域移動補助データ,公式統計ページ,貨物・旅客地域流動調査,国土交通省,2026-03下旬に2024年分公表予定と記載,統計表入口,広域移動関係，自動車依存度，地域間移動構造の補助把握,ODの補助校正に有用。鉄道・自動車・海運・航空の地域間流動を扱う。,https://www.mlit.go.jp/statistics/details/sample03_2_00035.html
必須,燃料費入力,公式統計ページ,石油製品価格調査 調査の結果,資源エネルギー庁,2026-04-08最終更新,週次ファイル（1990年以降）,ガソリン・軽油等のエネルギー費用系列,週次の長期Excelファイルあり。通勤コストの燃料費部分に直接使用可能。,https://www.enecho.meti.go.jp/statistics/petroleum_and_lpgas/pl007/results.html
補助,電力価格入力,公式市場データ,JEPX スポット市場（Day Ahead Market）,日本卸電力取引所,継続更新,spot / ave_day / ave_year,電力価格シナリオの補助資料,卸電力価格であり，家庭用充電単価の直接代理ではない。家庭用電気料金を別途置く場合の補助指標として使うのが望ましい。,https://www.jepx.jp/electricpower/market-data/spot/
必須,一般化交通費の原単位,公式PDF,費用便益分析マニュアル（令和7年8月訂正版）,国土交通省 道路局・都市局,2025-08訂正反映版,ben-eki_2.pdf,時間価値原単位・走行経費原単位・感度分析の実務基準,一般化交通費の構成を公的実務基準に合わせる際の中核資料。,https://www.mlit.go.jp/road/ir/ir-hyouka/ben-eki_2.pdf
