study_id,citation_number,short_citation,paper_title,problem_family,problem_instance_label,problem_instance_scale,problem_instance_unit,vehicle_count,formulation,encoding,reported_circuit_width,width_type,evidence_type,evidence_group,source_file,source_location,raw_source_text,extraction_confidence,plot_label,main_figure_inclusion,slide_inclusion,comparison_key,exclusion_reason
qaoa-2014-farhi,,2014,A Quantum Approximate Optimization Algorithm,General combinatorial optimization; MaxCut,QAOA theoretical definition,n,problem bits,,QAOA definition,cost + mixer layers,,Width type unclear,Formulation only,Excluded / background,literature/pdf_derived/text/271_20260622_qaoa_2014_farhi.txt,qaoa-2014-farhi abstract/introduction,"n logical qubits. Definition-level resource scaling, not a measured instance value. Width is n computational/logical qubits; depth is an upper bound without exploiting instance structure.",Medium,"QAOA theoretical definition [not assigned]
QAOA definition / cost + mixer layers",False,False,,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry
bench-2021-lubinski,,2021,Application-Oriented Performance Benchmarks for Quantum Computing,Application-oriented benchmark,Application benchmark methodology,,,,volumetric benchmark,not application-specific,,Width type unclear,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/bench-2021-lubinski.txt,bench-2021-lubinski Sections III.D-III.F,"circuit width = number of qubits. Methodological source for using width/depth in volumetric benchmarking, not a VRP/CVRP resource value.",Medium,"Application benchmark methodology [not assigned]
volumetric benchmark / not application-specific",False,False,,numeric reported circuit width; recognizable application-instance label; citation in the bounded quantum-VRP registry
vrptw-2023-leonidas,3,Leonidas et al. (2023),Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,11-route VRPTW,11,route candidates,,route-selection QUBO,full encoding,11.0,Reported circuit qubits,Hardware execution,Hardware execution,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 3 and Section VI.B,"11 qubits. Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth.",High,"11-route VRPTW [3]
route-selection QUBO / full encoding",True,True,vrptw-2023-leonidas|11-route VRPTW|11|route candidates,
vrptw-2023-leonidas,3,Leonidas et al. (2023),Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,16-route VRPTW,16,route candidates,,route-selection QUBO,full encoding,16.0,Reported circuit qubits,Hardware execution,Hardware execution,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 4 and Section VI.B,"16 qubits. Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth.",High,"16-route VRPTW [3]
route-selection QUBO / full encoding",True,True,vrptw-2023-leonidas|16-route VRPTW|16|route candidates,
vrptw-2023-leonidas,3,Leonidas et al. (2023),Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,16-route VRPTW,16,route candidates,,route-selection QUBO,minimal encoding,5.0,Reported circuit qubits,Hardware execution,Hardware execution,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 4 and Section VI.B,"5 qubits. Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The depth value is the ansatz layer count shared by the experiments, not backend-transpiled circuit depth.",High,"16-route VRPTW [3]
route-selection QUBO / minimal encoding",True,True,vrptw-2023-leonidas|16-route VRPTW|16|route candidates,
vrptw-2023-leonidas,3,Leonidas et al. (2023),Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,128-route VRPTW,128,route candidates,,route-selection QUBO,minimal encoding,8.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 6 and Section VI.B,"8 qubits. Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth.",High,"128-route VRPTW [3]
route-selection QUBO / minimal encoding",True,True,vrptw-2023-leonidas|128-route VRPTW|128|route candidates,
vrptw-2023-leonidas,3,Leonidas et al. (2023),Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,VRPTW,3964-route VRPTW,3964,route candidates,,route-selection QUBO,minimal encoding,13.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 6 and Section VI.B,"13 qubits. Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth.",High,"3964-route VRPTW [3]
route-selection QUBO / minimal encoding",True,False,vrptw-2023-leonidas|3964-route VRPTW|3964|route candidates,
hvrp-2024-fitzek,5,Fitzek et al. (2024),Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,"3-city HVRP, 1 truck",3,cities,1,Ising mapping,QAOA,11.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/267_20260622_hvrp_2024_fitzek.txt,hvrp-2024-fitzek Table 1; Figs. 7-9; resource estimate around Eq. 26,"11 qubits. The paper treats p as circuit depth and reports distributions/success probabilities from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",High,"3-city HVRP, 1 truck [5]
Ising mapping / QAOA",True,False,"hvrp-2024-fitzek|3-city HVRP, 1 truck|3|cities",
hvrp-2024-fitzek,5,Fitzek et al. (2024),Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,"4-city HVRP, 1 truck",4,cities,1,Ising mapping,QAOA,19.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/267_20260622_hvrp_2024_fitzek.txt,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,"19 qubits. The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",High,"4-city HVRP, 1 truck [5]
Ising mapping / QAOA",True,True,"hvrp-2024-fitzek|4-city HVRP, 1 truck|4|cities",
hvrp-2024-fitzek,5,Fitzek et al. (2024),Applying quantum approximate optimization to the heterogeneous vehicle routing problem,HVRP,"3-city HVRP, 2 trucks",3,cities,2,Ising mapping,QAOA,21.0,Reported circuit qubits,Quantum simulation,Quantum / classical simulation,literature/pdf_derived/text/267_20260622_hvrp_2024_fitzek.txt,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,"21 qubits. The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",High,"3-city HVRP, 2 trucks [5]
Ising mapping / QAOA",True,False,"hvrp-2024-fitzek|3-city HVRP, 2 trucks|3|cities",
