slide_number,slide_title,main_claim,input_data,processing,output_table,output_figure,notebook_section,reproduction_status,notes
1,Toward Evaluating Problem Scale in Quantum Computing,Study title and authorship,PPTX metadata,XML text extraction; mapped to audit section,slide_traceability,,0,CONFIRMED,Slide values remain references unless independently recalculated.
2,Why Technical Performance Alone Is Not Enough,Technical performance alone is insufficient,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,,1,CONFIRMED,Slide values remain references unless independently recalculated.
3,Why Transportation Is the Initial Application Domain,Transportation enables explicit application analysis,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,,2,CONFIRMED,Slide values remain references unless independently recalculated.
4,Research Question and Scope,Define scale and requirements before resource claims,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,,3,CONFIRMED,Slide values remain references unless independently recalculated.
5,Core Logic of the Study,Application requirements determine representation and resources,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 1,4,CONFIRMED,Slide values remain references unless independently recalculated.
6,Literature Review: What Was Examined,Literature evidence is compared application-wise,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 2,5,CONFIRMED,Slide values remain references unless independently recalculated.
7,Key Finding 1: Circuit Width Cannot Be Interpreted from Scale Alone,Circuit width depends on formulation and modality,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 3,6,REFERENCE_ONLY,Slide values remain references unless independently recalculated.
8,Key Finding 2: Three Types of Application-Technology Gap,"Scale, representation, and evidence gaps coexist",PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 4,7,CONFIRMED,Slide values remain references unless independently recalculated.
9,Application-Side Definition,Relevance combines scale and constraint coverage,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 5,8,CONFIRMED,Slide values remain references unless independently recalculated.
10,Exploratory Analysis for Defining Application Requirements,Exploratory analysis identifies modeling requirements,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 6,9,CONFIRMED,Slide values remain references unless independently recalculated.
11,Scenario Construction and Data,Open data anchors synthetic scenarios,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 7,10,CONFIRMED,Slide values remain references unless independently recalculated.
12,Generated Scenario and Route Proxy,Common route proxy supports comparison,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 8,11,CONFIRMED,Slide values remain references unless independently recalculated.
13,What the Constraint Results Imply for Modeling,Constraint outcomes imply required model features,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 9,12,DERIVED,Slide values remain references unless independently recalculated.
14,Variation Across Scenarios and One-at-a-Time Parameter Changes,Results respond to application assumptions,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 10,13,DERIVED,Slide values remain references unless independently recalculated.
15,Comparison with Current Quantum-VRP Evidence,Evidence is not aligned across studies,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 11,14,DERIVED,Slide values remain references unless independently recalculated.
16,Research Contribution and Next Stage,Two next-stage directions should be connected,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 12,15,REFERENCE_ONLY,Slide values remain references unless independently recalculated.
17,Appendix A: Detailed Open-Data Inputs,Input counts and limitations,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 13,16,CONFIRMED,Slide values remain references unless independently recalculated.
18,Appendix B: Scenario Design and Evaluation Settings,Scenario settings and counts,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 14,17,CONFIRMED,Slide values remain references unless independently recalculated.
19,Appendix C: Detailed Operational-Constraint Evaluation,Constraint reference results and limitations,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 15,18,DERIVED,Slide values remain references unless independently recalculated.
20,Appendix D: Variation and One-at-a-Time Parameter Checks,Variation and OAT reference classifications,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,Figure 15,19,DERIVED,Slide values remain references unless independently recalculated.
21,Appendix E: Quantum Routing Studies Reviewed for Circuit-Width Extraction,Routing literature sources,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,,20,CONFIRMED,Slide values remain references unless independently recalculated.
22,Appendix F: Methodological Literature and Open Data Sources,Method and open-data sources,PPTX; repository artifacts,XML text extraction; mapped to audit section,slide_traceability,,21,CONFIRMED,Slide values remain references unless independently recalculated.
