old_path,new_path,old_relative_path,new_relative_path,number,date,version,reason,status
/Users/tstakuma/Desktop/github/research/00_project_management/requirements.txt,/Users/tstakuma/Desktop/github/research/00_project_management/requirements.txt,00_project_management/requirements.txt,00_project_management/requirements.txt,001,20260711,,normalized retained research artifact name,renamed
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/.DS_Store,/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/950_20260712_ds_store,99_quarantine/unused_generated/.DS_Store,99_quarantine/unused_generated/950_20260712_ds_store,950,20260712,,normalized retained research artifact name,renamed
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/From technical success to unseen impacts_revised_with_sources.pptx.inspect.ndjson,/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/951_20260711_from_technical_success_to_unseen_impacts_revised_with_sources_pptx_inspect.ndjson,99_quarantine/unused_generated/From technical success to unseen impacts_revised_with_sources.pptx.inspect.ndjson,99_quarantine/unused_generated/951_20260711_from_technical_success_to_unseen_impacts_revised_with_sources_pptx_inspect.ndjson,951,20260711,,normalized retained research artifact name,renamed
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/.gitignore,/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/952_20260711_gitignore,99_quarantine/unused_generated/mypy_cache/.gitignore,99_quarantine/unused_generated/mypy_cache/952_20260711_gitignore,952,20260711,,normalized retained research artifact name,renamed
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/@plugins_snapshot.json,/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/953_20260711_plugins_snapshot.json,99_quarantine/unused_generated/mypy_cache/3.11/@plugins_snapshot.json,99_quarantine/unused_generated/mypy_cache/3.11/953_20260711_plugins_snapshot.json,953,20260711,,normalized retained research artifact name,renamed
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/__future__.data.json,/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/954_20260711_future_data.json,99_quarantine/unused_generated/mypy_cache/3.11/__future__.data.json,99_quarantine/unused_generated/mypy_cache/3.11/954_20260711_future_data.json,954,20260711,,normalized retained research artifact name,renamed
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/__future__.meta.json,/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/955_20260711_future_meta.json,99_quarantine/unused_generated/mypy_cache/3.11/__future__.meta.json,99_quarantine/unused_generated/mypy_cache/3.11/955_20260711_future_meta.json,955,20260711,,normalized retained research artifact name,renamed
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/_ast.data.json,/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/956_20260711_ast_data.json,99_quarantine/unused_generated/mypy_cache/3.11/_ast.data.json,99_quarantine/unused_generated/mypy_cache/3.11/956_20260711_ast_data.json,956,20260711,,normalized retained research artifact name,renamed
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/_ast.meta.json,/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/957_20260711_ast_meta.json,99_quarantine/unused_generated/mypy_cache/3.11/_ast.meta.json,99_quarantine/unused_generated/mypy_cache/3.11/957_20260711_ast_meta.json,957,20260711,,normalized retained research artifact name,renamed
/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/_codecs.data.json,/Users/tstakuma/Desktop/github/research/99_quarantine/unused_generated/mypy_cache/3.11/958_20260711_codecs_data.json,99_quarantine/unused_generated/mypy_cache/3.11/_codecs.data.json,99_quarantine/unused_generated/mypy_cache/3.11/958_20260711_codecs_data.json,958,20260711,,normalized retained research artifact name,renamed
