slide_number,slide_title,raw_extracted_text
1,Toward Evaluating Problem Scale in Quantum Computing,Toward Evaluating Problem Scale in Quantum Computing | Focusing on Operational Constraints in Transportation | 82535190 Takuma Sano
2,Why Technical Performance Alone Is Not Enough,"Why Technical Performance Alone Is Not Enough | Evaluating quantum technologies for social implementation requires attention to technical capability, application conditions, and social decision context. | Traditional View: Linear Progress | A | B | Technical progress is often represented as a simple transition from A to B. | Reframing | the perspective | Emerging Perspective: Diffusive Growth | A | First-order | Second-order | Surrounding | Technical Capability | What can the technology execute? | Application Conditions | What must be represented and satisfied? | Social Decision Context | Under what conditions should the application proceed?"
3,Why Transportation Is the Initial Application Domain,Why Transportation Is the Initial Application Domain | Transportation was selected because computational problems and operational requirements can be defined at multiple levels of realism. | Near-Term Analytical Value | • Problem instances can be explicitly defined | • Operational constraints can be enumerated and tested | • Classical baselines and public data are available | • Application-technology gaps can be examined concretely | Broader Technology Interactions | • Batteries and charging systems | • Materials discovery for transport technologies | • Vehicle technologies and operating conditions | • Transport infrastructure and service requirements | Transportation provides a concrete domain for connecting application requirements with quantum-resource interpretation.
4,Research Question and Scope,"Research Question and Scope | How should transport-specific problem-instance scale and operational requirements be defined so that reported quantum-resource requirements can be meaningfully interpreted? | Current Scope | • Define transport-specific problem instances and operational constraints | • Review formulations, encodings, circuit widths, and evaluation modalities | • Compare application requirements with current quantum-routing evidence | • Conduct an exploratory EVRP-side analysis to identify modeling requirements | Next-Step Question | How do these application requirements translate into formulation-specific quantum-resource requirements? | This separation keeps the present WIP focused on defining application requirements before claiming a resource estimate or quantum utility."
5,Core Logic of the Study,"Core Logic of the Study | Quantum-resource estimates become meaningful only after the application requirements and their mathematical representation have been defined. | Application Requirements | Problem-instance scale | Operational constraints | Required outputs | Mathematical Representation | Decision variables | Constraint terms | Auxiliary variables | Quantum Formulation and Encoding | Problem-to-circuit mapping | Encoding choices | Compilation assumptions | Quantum-Resource Requirements | Circuit width | Circuit depth | Gate count / connectivity | Feasible Technology Stage | Simulation | Hardware execution | Resource estimation | Application requirements determine what must be represented; what must be represented determines formulation, encoding, and resource requirements."
6,Literature Review: What Was Examined,"Literature Review: What Was Examined | This study adapts application-oriented benchmarking concepts to a literature-based comparison rather than executing a standardized benchmark suite. | Reviewed Evidence in This Study | • Transport problem class | • Reported problem-instance scale | • Mathematical formulation | • Quantum encoding | • Reported circuit width | • Evaluation modality | • Alignment with transport application requirements | Application-Oriented Benchmarking Perspective | • Feasible problem size | • Application-derived circuit | • Circuit width and depth | • Solution quality | • Execution time and resource use | Adaptation: use reported evidence from quantum-routing studies to compare how application requirements are represented, rather than running a new standardized benchmark suite."
7,Key Finding 1: Circuit Width Cannot Be Interpreted from Scale Alone,"Key Finding 1: Circuit Width Cannot Be Interpreted from Scale Alone | Similar problem-instance scales may require very different circuit widths depending on formulation, encoding, and evaluation modality. | Note: Reported qubit count indicates circuit width, not total computational cost. Practical execution also depends on circuit depth, gate count, connectivity, noise, and compilation overhead. | Formulation / Simulation | Resource Estimation | Leonidas et al. (2023) | Time-window routing | minimal formulation | 128 qubits | Leonidas et al. (2023) | Time-window routing | full formulation | 256 qubits | Onah & Michielsen (2025) | Capacitated routing benchmark | higher-order binary terms | 6,080 qubits | Onah & Michielsen (2025) | Capacitated routing benchmark | quadratic binary terms | 14,528 qubits | 10 | 100 | 1,000 | 10,000 | 100,000 | Reported Circuit Width (Qubits, Log Scale)"
8,Key Finding 2: Three Types of Application-Technology Gap,"Key Finding 2: Three Types of Application-Technology Gap | The gap between current quantum-routing studies and social implementation is not only a scale gap, but also a representation gap and an evidence gap. | Scale Gap | • Customers | • Vehicles | • Depots | • Geographic scope | Representation Gap | • Payload | • Operating time | • Range | • S | tate of Charge | • Charging | • Fleet heterogeneity | Evidence Gap | • Formulation only | • Classical simulation | • Quantum simulation | • Hardware execution | • Resource estimation | Implication: quantum-resource comparisons should report not only problem scale, but also which requirements are represented and how the result was validated or estimated."
9,Application-Side Definition,"Application-Side Definition | A larger instance is not necessarily more representative; application relevance depends on both problem-instance scale and operational-constraint coverage. | Problem-Instance Scale | • Customers or delivery locations | • Vehicles and depots | • Route candidates | • Geographic coverage | Operational-Constraint Coverage | • Payload | • Operating and service time | • Travel distance and range | • Time windows | • S | tate of Charge | • Charging access and duration | • Fleet heterogeneity | Problem-Instance Scale | Operational- | Constraint | Coverage | Toy | Instance | Small Instance | Rich Constraints | Large Instance | Basic Constraints | Operationally | Representative | Requirements | Application-side definition = Problem-instance scale × Required operational constraints. This definition is the basis for interpreting formulations, circuit widths, and resource estimates."
10,Exploratory Analysis for Defining Application Requirements,"Exploratory Analysis for Defining Application Requirements | The purpose of this analysis is not to solve an EVRP, but to identify which operational constraints must be represented before quantum-resource requirements can be interpreted. | Open-Data | Inputs | Synthetic | Scenario | Generation | Route-Proxy | Construction | Operational- | Constraint | Evaluation | Configuration | and Parameter | Checks | Comparison with | Quantum-VRP | Evidence | Questions Addressed by the Exploratory Analysis | • Which constraints are frequently unmet? | • Which constraints vary across scenarios? | • Which assumptions strongly affect results? | • Which constraints require more advanced modeling? | Interpretation Boundary | The model-conditional unmet rates are analytical signals from synthetic scenarios. They are not observed operational failure rates and do not evaluate an optimized EVRP solution. | Analysis Workflow"
