source_id,variable_id,variable_name,technical_stage_relevance,extracted_evidence,layer_hint,width_depth_relation,readiness_relation,source_location,confidence,notes
qaoa-2014-farhi,qaoa_p,QAOA layer p,theoretical formulation,QAOA uses alternating operators with depth controlled by layer parameter p.,quantum_execution,reported algorithmic depth proxy,Defines algorithmic depth but not physical depth,local PDF/text extraction,high,
bench-2021-lubinski,circuit_width,Circuit width,benchmark methodology,QED-C application-oriented benchmarks map fidelity as a function of circuit width and depth.,quantum_execution,direct width metric,Used for volumetric/application-oriented benchmarking,QED-C page line 63,high,
bench-2021-lubinski,circuit_depth,Circuit depth,benchmark methodology,QED-C application-oriented benchmarks map fidelity as a function of circuit width and depth.,quantum_execution,direct or normalized depth metric,Used to compare circuits under benchmarking assumptions,QED-C page line 63,high,
nisq-2018-preskill,gate_noise,Gate noise,NISQ limitation,NISQ framing: noisy gates constrain reliable execution and motivate eventual FTQC.,quantum_execution,limits reliable executable depth,NISQ devices constrained by noise,local PDF/text extraction,high,
vqa-2021-cerezo,classical_optimizer,Classical optimizer,hybrid workflow,VQAs use parameterized quantum circuits trained by classical optimizers under NISQ constraints.,hybrid_workflow,no direct width; affects optimizer iterations and runtime,VQA/QAOA require classical optimization loop,local notes / citation_strategy,high,
vqa-2021-cerezo,parameterized_circuit,Parameterized quantum circuit,hybrid workflow,VQA framing connects shallow parameterized circuits with classical optimization.,quantum_execution; hybrid_workflow,depth depends on ansatz/layers,NISQ strategy and workflow evidence,local notes / citation_strategy,high,
resource-2022-beverland-practical-advantage,logical_qubits,Logical qubits,FTQC / resource estimation,Practical advantage assessment requires stack/resource estimates including logical/physical resources.,quantum_execution,resource estimate,Relevant for practical advantage under error correction,local notes / citation_strategy,medium,
resource-2022-beverland-practical-advantage,full_stack_resource,Full-stack resource estimate,resource estimation,Practical quantum advantage requires more than algorithm definition; stack/runtime/resources matter.,hybrid_workflow; quantum_execution,connects width/depth to runtime and architecture,Supports full-stack readiness evaluation,local notes / citation_strategy,medium,
utility-2023-herrmann,application_readiness_level,Application Readiness Level,readiness framework,Herrmann et al. introduce ARLs as a level-based classification for quantum utility assessment.,readiness_classification,context label,Use as stage label not direct resource metric,arXiv page summary,high,Source ARL is 1-5; this study adapts it as context.
utility-2023-herrmann,quantum_utility,Quantum utility,readiness framework,Quantum utility is framed as practical advantage over a comparable classical machine in speed/accuracy/energy.,readiness_classification,no direct width/depth metric,Defines practical candidacy boundary,arXiv page summary,high,
ibm-quantum-roadmap-2026-2029,near_term_quantum_advantage,Near-term quantum advantage roadmap,roadmap,IBM states tools to achieve near-term quantum advantage by end-2026.,readiness_classification,no direct width/depth relation,Future roadmap stage,IBM hardware page lines 255-257,medium,Vendor roadmap; treat as scenario not evidence of current capability.
ibm-technology-atlas-quantum,ftqc_2029_starling,FTQC Starling 2029,roadmap,IBM Technology Atlas states Starling in 2029 with 200 qubits and 100 million gates.,quantum_execution,logical-qubit/gate roadmap,FTQC candidate stage,IBM Technology Atlas line 36,medium,Vendor roadmap; use cautiously.
ibm-technology-atlas-quantum,blue_jay_2033,Blue Jay 2033+ roadmap,roadmap,IBM Technology Atlas states Blue Jay 2033+ with 2000 qubits and 1 billion gates.,quantum_execution,logical-qubit/gate roadmap,FTQC scale scenario,IBM Technology Atlas line 36,medium,Vendor roadmap; use cautiously.
ionq-roadmap,ionq_logical_qubits_2030,IonQ 2030 logical qubits,roadmap,IonQ roadmap states 2 million physical qubits and 80000 logical qubits by 2030.,quantum_execution,logical/physical qubit roadmap,FTQC candidate stage,IonQ roadmap lines 43-47,low,"Vendor roadmap; use as scenario, not neutral forecast."
qedc-benchmark-suite,volumetric_benchmarking,Volumetric benchmarking,benchmark methodology,QED-C suite uses application-oriented volumetric benchmarks and optimization performance profiles.,benchmark_method,relates performance to width/depth/problem scale,Benchmark evidence for application-oriented evaluation,QED-C zoo page summary,medium,
nasa-tra-guide-2020,trl_scale,Technology Readiness Levels,readiness framework,NASA TRA guide defines TRL 1-9 and describes evidence-based readiness assessment.,readiness_classification,no direct width/depth metric,Use as general readiness-assessment baseline,NASA TRA Best Practices Guide section 2.3,high,Do not present local ARL labels as formal NASA TRLs.
doe-qis-applications-roadmap-2024,qis_application_roadmap,QIS application roadmap,roadmap,DOE roadmap details scientific challenges and milestones for real-world QIS applications.,readiness_classification; quantum_execution,no direct width/depth metric,Use as neutral roadmap-stage context for quantum applications,DOE QIS Applications Roadmap summary,medium,Use at roadmap level; not VRP-specific.
