Plot label,Reported width,Width type,Evidence type,Source file,"Source page, table, cell, or Notebook cell",Raw supporting text,Citation number,Included in full figure,Included in slide figure,Exclusion reason,Inclusion or exclusion status
"QAOA theoretical definition [not assigned]
QAOA definition / cost + mixer layers",,Width type unclear,Formulation only,literature/pdf_derived/text/271_20260622_qaoa_2014_farhi.txt,qaoa-2014-farhi abstract/introduction,"n logical qubits. Definition-level resource scaling, not a measured instance value. Width is n computational/logical qubits; depth is an upper bound without exploiting instance structure.",,False,False,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry,Excluded
"Application benchmark methodology [not assigned]
volumetric benchmark / not application-specific",,Width type unclear,Quantum simulation,literature/pdf_derived/text/bench-2021-lubinski.txt,bench-2021-lubinski Sections III.D-III.F,"circuit width = number of qubits. Methodological source for using width/depth in volumetric benchmarking, not a VRP/CVRP resource value.",,False,False,numeric reported circuit width; recognizable application-instance label; citation in the bounded quantum-VRP registry,Excluded
"11-route VRPTW [3]
route-selection QUBO / full encoding",11.0,Reported circuit qubits,Hardware execution,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 3 and Section VI.B,"11 qubits. Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth.",3,True,True,,Included — full and slide
"16-route VRPTW [3]
route-selection QUBO / full encoding",16.0,Reported circuit qubits,Hardware execution,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 4 and Section VI.B,"16 qubits. Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth.",3,True,True,,Included — full and slide
"16-route VRPTW [3]
route-selection QUBO / minimal encoding",5.0,Reported circuit qubits,Hardware execution,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 4 and Section VI.B,"5 qubits. Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The depth value is the ansatz layer count shared by the experiments, not backend-transpiled circuit depth.",3,True,True,,Included — full and slide
"128-route VRPTW [3]
route-selection QUBO / minimal encoding",8.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 6 and Section VI.B,"8 qubits. Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth.",3,True,True,,Included — full and slide
"3964-route VRPTW [3]
route-selection QUBO / minimal encoding",13.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/277_20260622_vrptw_2023_leonidas.txt,vrptw-2023-leonidas Fig. 6 and Section VI.B,"13 qubits. Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth.",3,True,False,,Included — full only
"3-city HVRP, 1 truck [5]
Ising mapping / QAOA",11.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/267_20260622_hvrp_2024_fitzek.txt,hvrp-2024-fitzek Table 1; Figs. 7-9; resource estimate around Eq. 26,"11 qubits. The paper treats p as circuit depth and reports distributions/success probabilities from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",5,True,False,,Included — full only
"4-city HVRP, 1 truck [5]
Ising mapping / QAOA",19.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/267_20260622_hvrp_2024_fitzek.txt,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,"19 qubits. The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",5,True,True,,Included — full and slide
"3-city HVRP, 2 trucks [5]
Ising mapping / QAOA",21.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/267_20260622_hvrp_2024_fitzek.txt,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,"21 qubits. The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",5,True,False,,Included — full only
"Golden_5 CVRP, 200 customers / 5 vehicles [7]
CVRP resource model / HOBO / direct encoding",7685.0,Estimated qubit requirement,Resource estimation,literature/pdf_derived/text/cvrp-2025-onah-utility.txt,cvrp-2025-onah-utility Table 3; Fig. 1; Table 1,"7685 qubits. Table 3 reports HOBO qubits, Depth(N), quantum volume, and error rate for Golden_5. Depth and volume rely on asymptotic assumptions.",7,True,True,,Included — full and slide
"Golden_5 CVRP, 200 customers / 5 vehicles [7]
CVRP resource model / QUBO",202505.0,Estimated qubit requirement,Resource estimation,literature/pdf_derived/text/cvrp-2025-onah-utility.txt,cvrp-2025-onah-utility Table 3; Table 1,"202505 qubits. Table 3 reports Golden_5 QUBO width as 202505 qubits. The Golden_5 Depth(N) and quantum volume columns correspond to the HOBO feasibility calculation, so QUBO depth is left blank.",7,True,True,,Included — full and slide
"General N-city TSP [not assigned]
TSP binary optimization / QUBO",,Width type unclear,Formulation only,literature/pdf_derived/text/266_20260622_encoding_2022_glos.txt,encoding-2022-glos Table 1; QUBO depth analysis,N^2 qubits. TSP-specific theoretical resource bound. QUBO is depth-efficient but width-heavy relative to HOBO.,,False,False,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry,Excluded
"General N-city TSP [not assigned]
TSP binary optimization / HOBO",,Width type unclear,Formulation only,literature/pdf_derived/text/266_20260622_encoding_2022_glos.txt,encoding-2022-glos Table 1; HOBO discussion,N log N qubits. TSP-specific theoretical resource bound. HOBO reduces qubits at the cost of deeper circuits.,,False,False,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry,Excluded
"General N-city TSP [not assigned]
TSP binary optimization / HOBO",,Width type unclear,Formulation only,literature/pdf_derived/text/266_20260622_encoding_2022_glos.txt,encoding-2022-glos Table 1; mixed encoding efficiency section,"C N^(2-alpha) log N qubits. Interpolates between QUBO and HOBO up to polylog factors; use as qubit-depth trade-off background, not CVRP resource value.",,False,False,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry,Excluded
"General N-city TSP [not assigned]
TSP binary optimization / enumerating / VQE-oriented",,Width type unclear,Formulation only,literature/pdf_derived/text/266_20260622_encoding_2022_glos.txt,encoding-2022-glos Table 1; optimal encoding section,"ceil(log(N!)) qubits. Width-optimal route enumeration can require exponential terms/depth, so it is not treated as practical QAOA resource value.",,False,False,numeric reported circuit width; recognizable application-instance label; eligible empirical evidence type; citation in the bounded quantum-VRP registry,Excluded
"4-location VRP, 2 vehicles [1]
edge-based Ising / QAOA",12.0,Reported circuit qubits,Quantum simulation,literature/pdf_derived/text/275_20260622_vrp_2020_azad.txt,vrp-2020-azad Fig. 2; Section V.A,12 qubits. The paper states N=n*(n-1) qubits and reports sufficient probability for p>=12; Fig. 2 shows p=12.,1,True,False,,Included — full only
