source_id,source_name,provider,url,local_raw_path,data_type,collection_method,downloaded_at,license_or_terms,spatial_level,temporal_level,use_in_analysis,limitation,collection_status
iea_ev_2026,Global EV Data Explorer,IEA,https://www.iea.org/data-and-statistics/data-tools/global-ev-data-explorer,03_data/raw/iea/332_20260704_v02_ev_data_explorer_2026_existing_raw.xlsx,xlsx,manual download,existing local file,IEA terms,country / region,annual,EV adoption and fleet electrification context,EV stock is not route count fleet size or quantum benchmark size,local_existing
world_bank_lpi,Logistics Performance Index,World Bank,https://data360.worldbank.org/en/dataset/WB_LPI,03_data/raw/world_bank_lpi/,json via World Bank API,API download,2026-07-04,World Bank terms / CC BY 4.0,country,survey year,logistics maturity and timeliness pressure,Country-level proxy and not city/operator-specific logistics workflow,local_existing
open_charge_map,Open Charge Map charging stations,Open Charge Map,https://www.openchargemap.org/develop/api,03_data/raw/charging_infrastructure/open_charge_map/tokyo/open_charge_map_tokyo_2026-07-04.json,json via API,API query,2026-07-04,Open Charge Map terms / mixed provider licenses,city bounding box,snapshot,charging geospatial readiness and EVRP station-choice constraints,Coverage and update quality vary by country and station status may be missing; current Tokyo value uses approximate bounding box,local_existing
eafo_charging,European Alternative Fuels Observatory charging infrastructure,European Alternative Fuels Observatory,https://alternative-fuels-observatory.ec.europa.eu/homepage,03_data/raw/charging_infrastructure/eafo/,csv or web download,manual/API download if target region is Europe,to collect,EAFO terms,country / EU region,annual or snapshot,charging infrastructure context for European cases,Less relevant if the target case is Japan or non-European city,to_collect_if_europe_case
nrel_afdc,Alternative Fueling Station Locator,NREL AFDC,https://afdc.energy.gov/stations,03_data/raw/charging_infrastructure/nrel_afdc/,api or csv,API query,to collect,NREL/US government data terms,United States city / corridor / country,snapshot,charging infrastructure context for US cases,Not relevant for Japan unless used as comparison case,to_collect_if_us_case
osm_road_network,OpenStreetMap road network,OpenStreetMap / Geofabrik,https://download.geofabrik.de/asia/japan/kanto.html,03_data/raw/osm/tokyo/329_20260704_v02_kanto_260703_free_shp.zip,shapefile zip,manual download,2026-07-04,ODbL,city bounding box / Kanto extract,snapshot,urban network complexity and realistic routing benchmark construction,Completeness varies by region and road data still requires demand/depot/customer assumptions; current Tokyo value uses an approximate bounding box,local_existing
overture_maps,Overture Maps transportation and places,Overture Maps Foundation,https://overturemaps.org/,03_data/raw/overture_maps/,parquet or geospatial extract,download target geography,to collect,Overture license terms,city / metropolitan area,snapshot,road/place context and possible depot/customer POI proxies,Requires filtering and may not replace operator demand data,to_collect_optional
estat_mesh,e-Stat population and regional statistics,e-Stat,https://www.e-stat.go.jp/en/statistics/00200521,03_data/raw/estat/tokyo/326_20260704_v02_estat_2020_population_census_table_1_1_3_tokyo_2026_07_04.csv,csv,manual download,2026-07-04,e-Stat terms,prefecture,census,demand concentration proxy and urban delivery pressure,Population density is a demand proxy and not observed parcel or service-route demand; current file is Tokyo-to aggregate not grid-square mesh,local_existing
gtfs_city,GTFS or public transport open data,GTFS / ODPT CKAN,https://ckan.odpt.org/dataset,03_data/raw/smart_city/gtfs/tokyo/toei_bus_gtfs_2026-07-04.zip,zip,manual download from ODPT dataset,2026-07-04,varies by provider / ODPT terms,city,static feed,smart city data readiness and static mobility-data availability,GTFS availability does not imply routing operator adoption; Toei Bus GTFS is static public-transit data not EV delivery-route demand,local_existing
city_traffic_open_data,City traffic or smart-city open data,city open data portal,target city open data URL to be filled,03_data/raw/smart_city/traffic/,csv or API,manual/API download,to collect,varies by city,city,periodic or real-time,dynamic dispatch and reoptimization data readiness,Definitions update frequency and access rules differ across cities,to_collect
evrptw_mendeley_schneider,E-VRPTW instances,Dominik Goeke / Mendeley Data,https://data.mendeley.com/datasets/h3mrm5dhxw/1,03_data/raw/evrp_benchmarks/e-vrptw_mendeley_schneider/evrptw_instances,txt instance files,API-assisted download,2026-07-04,CC BY NC 3.0,benchmark instance,static,EVRP time-window benchmark fields and requirement-map evidence,Vehicle count is not declared in the files and coordinates are benchmark coordinates not Tokyo geography,local_existing
jartic_traffic_api,JARTIC traffic-volume API,Japan Road Traffic Information Center / MLIT xROAD,https://www.jartic-open-traffic.org/,03_data/raw/smart_city/traffic/jartic/tokyo,GeoJSON via WFS API,API query,2026-07-05,JARTIC API terms,national-road observation points / Tokyo bounding box,hourly snapshot,Optional traffic-intensity proxy for dynamic dispatch or travel-cost uncertainty branches.,"Covers traffic-volume observation points on national roads; not parcel delivery routes, customer demand, depot data, or EV charging behavior.",local_existing
mlit_n03_tokyo_boundary,National Land Numerical Information administrative boundary data for Tokyo,MLIT National Land Numerical Information,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N03-2024.html,03_data/raw/boundary/mlit_n03_tokyo/328_20240101_v02_n03_20240101_13_gml.zip,GIS boundary zip,manual download,2026-07-05,MLIT National Land Numerical Information terms,Tokyo prefecture / municipality polygons,2024 boundary,"Official Tokyo boundary for clipping, area normalization, and Tokyo-scope definition.","Boundary data defines administrative geography; it does not provide demand, traffic, depot, or charging behavior.",local_existing
