check_id,item,status,detail
PREFLIGHT-DIR,/Users/tstakuma/Desktop/github/research/03_data,PASS,required directory
PREFLIGHT-DIR,/Users/tstakuma/Desktop/github/research/05_src,PASS,required directory
PREFLIGHT-DIR,/Users/tstakuma/Desktop/github/research/02_literature,PASS,required directory
PREFLIGHT-FILE,source_deck,PASS,/Users/tstakuma/Desktop/github/research/07_presentations/current/0712_MDR2_v2_enriched_appendix.pptx
PREFLIGHT-FILE,population_mesh,PASS,/Users/tstakuma/Desktop/github/research/03_data/processed/estat_tokyo_mesh_population_cells.csv
PREFLIGHT-COLUMNS,population_mesh,PASS,missing=[]; observed_columns=5
PREFLIGHT-FILE,charger_connections,PASS,/Users/tstakuma/Desktop/github/research/03_data/processed/open_charge_map_tokyo_boundary_clipped_connections.csv
PREFLIGHT-COLUMNS,charger_connections,PASS,missing=[]; observed_columns=18
PREFLIGHT-FILE,depot_candidates,PASS,/Users/tstakuma/Desktop/github/research/03_data/processed/evrp_constraint_gap_inputs/depot_candidates_public_proxy_snapshot.csv
PREFLIGHT-COLUMNS,depot_candidates,PASS,missing=[]; observed_columns=12
PREFLIGHT-FILE,vehicle_specs,PASS,/Users/tstakuma/Desktop/github/research/03_data/processed/evrp_constraint_gap_inputs/vehicle_specs_public_source_snapshot.csv
PREFLIGHT-COLUMNS,vehicle_specs,PASS,missing=[]; observed_columns=16
PREFLIGHT-FILE,analysis_parameters,PASS,/Users/tstakuma/Desktop/github/research/03_data/processed/evrp_constraint_gap_inputs/analysis_parameters.csv
PREFLIGHT-COLUMNS,analysis_parameters,PASS,missing=[]; observed_columns=7
PREFLIGHT-FILE,quantum_evidence,PASS,/Users/tstakuma/Desktop/github/research/03_data/processed/evrp_constraint_gap_inputs/quantum_vrp_evidence_registry.csv
PREFLIGHT-COLUMNS,quantum_evidence,PASS,missing=[]; observed_columns=38
PREFLIGHT-FILE,circuit_resources,PASS,/Users/tstakuma/Desktop/github/research/02_literature/extraction_tables/circuit_resources.csv
PREFLIGHT-COLUMNS,circuit_resources,PASS,missing=[]; observed_columns=14
PREFLIGHT-FILE,paper_registry,PASS,/Users/tstakuma/Desktop/github/research/02_literature/references/papers.csv
PREFLIGHT-COLUMNS,paper_registry,PASS,missing=[]; observed_columns=18
