evidence_id,survey_id,reported_value,value_type,unit,width_definition,logical_or_physical,problem_family,problem_variant,instance_size,customer_count,vehicle_count,constraints_included,formulation,encoding,algorithm,source_title,authors,year,doi,url,page,equation,table_or_figure,extraction_method,verification_status,evidence_quality,notes,metric_definition,problem_type,DOI_or_URL,status
CW-VERIFIED-001,SURV-001,11.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRPTW,11-route instance,,,time window,full encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,Variational quantum optimization with qubit-efficient encoding,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,vrptw-2023-leonidas Fig. 3 and Section VI.B,W = n_c,Fig. 3 and Section VI,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth.",logical qubits or circuit wires used by the reported formulation,VRPTW,10.48550/arXiv.2306.08507,DIRECTLY_REPORTED
CW-VERIFIED-002,SURV-002,16.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRPTW,16-route instance,,,time window,full encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,Variational quantum optimization with qubit-efficient encoding,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,vrptw-2023-leonidas Fig. 4 and Section VI.B,W = n_c,Fig. 4 and Section VI,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"Full encoding maps one route variable to one qubit. The paper reports ansatz layer count L=4, not backend-transpiled circuit depth.",logical qubits or circuit wires used by the reported formulation,VRPTW,10.48550/arXiv.2306.08507,DIRECTLY_REPORTED
CW-VERIFIED-003,SURV-003,5.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRPTW,16-route instance,,,time window,minimal encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,Variational quantum optimization with qubit-efficient encoding,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,vrptw-2023-leonidas Fig. 4 and Section VI.B,W = 1 + ceil(log2(n_c)),Fig. 4 and Section VI,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The depth value is the ansatz layer count shared by the experiments, not backend-transpiled circuit depth.",logical qubits or circuit wires used by the reported formulation,VRPTW,10.48550/arXiv.2306.08507,DIRECTLY_REPORTED
CW-VERIFIED-004,SURV-004,8.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRPTW,128-route instance,,,time window,minimal encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,Variational quantum optimization with qubit-efficient encoding,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,vrptw-2023-leonidas Fig. 6 and Section VI.B,W = 1 + ceil(log2(n_c)),Fig. 6 and Section VI,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth.",logical qubits or circuit wires used by the reported formulation,VRPTW,10.48550/arXiv.2306.08507,DIRECTLY_REPORTED
CW-VERIFIED-005,SURV-005,13.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,VRPTW,3964-route instance,,,time window,minimal encoding,Reduced binary-variable encoding; QUBO based on realistic shipping scenarios,Variational quantum optimization with qubit-efficient encoding,Qubit efficient quantum algorithms for the vehicle routing problem on NISQ processors,Ioannis D. Leonidas; Alexander Dukakis; Benjamin Tan; Dimitris G. Angelakis,2023,10.48550/arXiv.2306.08507,https://arxiv.org/abs/2306.08507,vrptw-2023-leonidas Fig. 6 and Section VI.B,W = 1 + ceil(log2(n_c)),Fig. 6 and Section VI,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"Minimal encoding uses 1 + ceil(log2(n_c)) qubits. The paper applies the same basic variational ansatz; depth should be treated as ansatz layers, not physical depth.",logical qubits or circuit wires used by the reported formulation,VRPTW,10.48550/arXiv.2306.08507,DIRECTLY_REPORTED
CW-VERIFIED-006,SURV-006,11.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,HVRP,problem instance I,3.0,1.0,capacity; multiple vehicles; heterogeneous fleet,Ising mapping,Ising Hamiltonian mapping for heterogeneous fleet capacities,QAOA,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,2024,10.1038/s41598-024-76967-w,https://www.nature.com/articles/s41598-024-76967-w,hvrp-2024-fitzek Table 1; Figs. 7-9; resource estimate around Eq. 26,W = W_routing + W_capacity,Table 1; Figs; Eq. 26,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"The paper treats p as circuit depth and reports distributions/success probabilities from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",logical qubits or circuit wires used by the reported formulation,HVRP,10.1038/s41598-024-76967-w,DIRECTLY_REPORTED
CW-VERIFIED-007,SURV-007,19.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,HVRP,problem instance II,4.0,1.0,capacity; multiple vehicles; heterogeneous fleet,Ising mapping,Ising Hamiltonian mapping for heterogeneous fleet capacities,QAOA,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,2024,10.1038/s41598-024-76967-w,https://www.nature.com/articles/s41598-024-76967-w,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,W = W_routing + W_capacity,Table 1; Figs; Eq. 26,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",logical qubits or circuit wires used by the reported formulation,HVRP,10.1038/s41598-024-76967-w,DIRECTLY_REPORTED
CW-VERIFIED-008,SURV-008,21.0,NUMERIC_VALUE,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,HVRP,problem instance III,3.0,2.0,capacity; multiple vehicles; heterogeneous fleet,Ising mapping,Ising Hamiltonian mapping for heterogeneous fleet capacities,QAOA,Applying quantum approximate optimization to the heterogeneous vehicle routing problem,David Fitzek; Toheed Ghandriz; Leo Laine; Mats Granath; et al.; Anton Frisk Kockum,2024,10.1038/s41598-024-76967-w,https://www.nature.com/articles/s41598-024-76967-w,hvrp-2024-fitzek Table 1; Figs. 7-8; resource estimate around Eq. 26,W = W_routing + W_capacity,Table 1; Figs; Eq. 26,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"The paper treats p as circuit depth and reports distributions from p=1 to p=5. This is QAOA layer depth, not transpiled hardware depth.",logical qubits or circuit wires used by the reported formulation,HVRP,10.1038/s41598-024-76967-w,DIRECTLY_REPORTED
CW-VERIFIED-009,SURV-009,7685.0,NUMERIC_VALUE,qubits,logical/resource-estimate qubit count; not a physical error-corrected qubit estimate,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,CVRP,Golden_5,,5.0,capacity,HOBO/direct encoding,Encoding-agnostic go/no-go framework; QUBO versus HOBO/direct encoding resource counts,Resource estimation and utility framework,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,Chinonso Onah; Kristel Michielsen,2025,10.48550/arXiv.2509.11469,https://arxiv.org/abs/2509.11469,cvrp-2025-onah-utility Table 3; Fig. 1; Table 1,NOT_APPLICABLE,Table 3; Fig. 1; Table 1,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"Table 3 reports HOBO qubits, Depth(N), quantum volume, and error rate for Golden_5. Depth and volume rely on asymptotic assumptions.",logical/resource-estimate qubit count; not a physical error-corrected qubit estimate,CVRP,10.48550/arXiv.2509.11469,DIRECTLY_REPORTED
CW-VERIFIED-010,SURV-010,202505.0,NUMERIC_VALUE,qubits,logical/resource-estimate qubit count; not a physical error-corrected qubit estimate,logical/resource-level; physical mapping not evaluated,transportation/routing optimization,CVRP,Golden_5,,5.0,capacity,QUBO,Encoding-agnostic go/no-go framework; QUBO versus HOBO/direct encoding resource counts,Resource estimation and utility framework,Requirements for Early Quantum Utility and Quantum Utility in the Capacitated Vehicle Routing Problem,Chinonso Onah; Kristel Michielsen,2025,10.48550/arXiv.2509.11469,https://arxiv.org/abs/2509.11469,cvrp-2025-onah-utility Table 3; Table 1,NOT_APPLICABLE,Table 3; Table 1,local primary-source PDF/text extraction followed by structured normalization,DIRECTLY_REPORTED,A,"Table 3 reports Golden_5 QUBO width as 202505 qubits. The Golden_5 Depth(N) and quantum volume columns correspond to the HOBO feasibility calculation, so QUBO depth is left blank.",logical/resource-estimate qubit count; not a physical error-corrected qubit estimate,CVRP,10.48550/arXiv.2509.11469,DIRECTLY_REPORTED
