paper_id,problem,instance_or_scope,formulation_or_encoding,width_numeric,validation_stage,qrl_evidence_level,social_readiness_level,social_readiness_label,social_readiness_score,problem_readiness,problem_readiness_score,data_workflow_readiness,data_workflow_readiness_score,constraint_readiness,constraint_readiness_score,resource_readiness,social_resource_readiness_score,technology_readiness,social_technology_readiness_score,social_score_rule,srl_qrl_relation,matrix_x_qrl,matrix_y_srl,cell_srl_score,qrl_mean_srl_score,qrl_row_count,srl_assignment_basis,srl_assignment_explanation
cvrp-2025-onah-utility,CVRP,"Golden_5 CVRP benchmark instance: 200 customers, 5 vehicles, capacity 900",QUBO,202505,Resource estimation,QRL4,SRL4,dynamic EV logistics,2.2,high,2,high,2,high,2,very_high,3,high,2,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,stage-aligned,4,4,2.2,2.2,2,"Large benchmark-scale CVRP resource estimate; used as social-side resource-readiness pressure, not as hardware execution evidence.","Large benchmark-scale CVRP resource estimate; used as social-side resource-readiness pressure, not as hardware execution evidence."
cvrp-2025-onah-utility,CVRP,"Golden_5 CVRP benchmark instance: 200 customers, 5 vehicles, capacity 900",HOBO/direct encoding,7685,Resource estimation,QRL4,SRL4,dynamic EV logistics,2.2,high,2,high,2,high,2,very_high,3,high,2,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,stage-aligned,4,4,2.2,2.2,2,"Large benchmark-scale CVRP resource estimate; used as social-side resource-readiness pressure, not as hardware execution evidence.","Large benchmark-scale CVRP resource estimate; used as social-side resource-readiness pressure, not as hardware execution evidence."
vrp-2025-azfar-arxiv,VRP,5-node VRP instance,edge-based link QUBO / QAOA,30,Hardware run / target,QRL3,SRL1,simple routing need,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,3,1,0.0,0.6,12,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.","Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness."
vrp-2025-azfar-arxiv,VRP,4-node VRP instance,edge-based link QUBO / QAOA,14,Hardware run / target,QRL3,SRL1,simple routing need,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,3,1,0.0,0.6,12,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.","Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness."
vrp-2025-azfar-arxiv,VRP,"3-node, 2-vehicle VRP instance",edge-based link QUBO / QAOA,6,Hardware run / target,QRL3,SRL1,simple routing need,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,3,1,0.0,0.6,12,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.","Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness."
cvrp-2023-palackal,CVRP / TSP decomposition,6-node TSP subproblem from CVRP decomposition,clustering + TSP; QAOA and hardware-efficient VQE,25,Simulator + hardware check,QRL3,SRL2,urban constrained routing,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,3,2,1.2,0.6,12,Capacity or decomposed routing conditions are present; this supports constrained routing readiness rather than EV-integrated operation.,Capacity or decomposed routing conditions are present; this supports constrained routing readiness rather than EV-integrated operation.
vrp-2020-azad,VRP,"5-location, 2-vehicle VRP instance",edge-based Ising/QAOA encoding,20,Simulator + hardware check,QRL3,SRL1,simple routing need,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,3,1,0.0,0.6,12,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.","Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness."
vrp-2020-azad,VRP,"5-location, 3-vehicle VRP instance",edge-based Ising/QAOA encoding,20,Simulator + hardware check,QRL3,SRL1,simple routing need,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,3,1,0.0,0.6,12,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.","Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness."
cvrp-2023-palackal,CVRP / TSP decomposition,5-node TSP subproblem from CVRP decomposition,clustering + TSP; QAOA and hardware-efficient VQE,16,Simulator + hardware check,QRL3,SRL2,urban constrained routing,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,3,2,1.2,0.6,12,Capacity or decomposed routing conditions are present; this supports constrained routing readiness rather than EV-integrated operation.,Capacity or decomposed routing conditions are present; this supports constrained routing readiness rather than EV-integrated operation.
vrptw-2023-leonidas,VRPTW,16-route candidate set,full encoding,16,Simulator + hardware check,QRL3,SRL2,urban constrained routing,1.2,medium,1,medium,1,high,2,medium,1,medium,1,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,3,2,1.2,0.6,12,"Time-window routing conditions are specified, but EV charging or dynamic operational workflow is not the reported instance focus.","Time-window routing conditions are specified, but EV charging or dynamic operational workflow is not the reported instance focus."
vrp-2020-azad,VRP,"4-location, 2-vehicle VRP instance",edge-based Ising/QAOA encoding,12,Simulator + hardware check,QRL3,SRL1,simple routing need,0.0,low,0,low,0,low,0,low,0,low,0,low=0; medium=1; high=2; very_high=3; social_readiness_score=mean_of_five_axis_scores,quantum evidence ahead of assigned social scope,3,1,0.0,0.6,12,"Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness.","Small static VRP instance with limited operational constraints; useful as a routing-demand baseline, not deployment readiness."
