source_id,source_type,title,author_or_organization,year,url_or_path,status,relevance_to_technical_stage,variables_expected,notes
qaoa-2014-farhi,paper,A Quantum Approximate Optimization Algorithm,Farhi et al.,2014,,registered,QAOA definition and layer depth p,qubits n; layer p; cost Hamiltonian; mixer,"Definition source, not VRP-specific."
nisq-2018-preskill,paper,Quantum Computing in the NISQ era and beyond,John Preskill,2018,https://quantum-journal.org/papers/q-2018-08-06-79/,registered,NISQ constraints and need for FTQC,noisy gates; reliable circuit size; fault tolerance,Use for device-stage framing.
vqa-2021-cerezo,review,Variational quantum algorithms,Cerezo et al.,2021,https://arxiv.org/abs/2012.09265,registered,Hybrid VQA workflow and NISQ constraints,parameterized circuits; classical optimizer; trainability; errors,Use for hybrid workflow layer.
utility-2023-herrmann,paper,Quantum utility -- definition and assessment of a practical quantum advantage,Herrmann et al.,2023,https://arxiv.org/abs/2303.02138,reviewed,ARL and quantum utility framing,ARL; utility; practical advantage conditions,Use with caveat that source ARL scale is 1-5.
bench-2021-lubinski,paper,Application-Oriented Performance Benchmarks for Quantum Computing,QED-C / Lubinski et al.,2021,https://quantumconsortium.org/publication/application-oriented-performance-benchmarks-for-quantum-computing/,reviewed,Application-oriented and volumetric benchmarking,width; normalized depth; result fidelity; problem size,Use for width/depth as application benchmark evidence.
resource-2022-beverland-practical-advantage,paper,Assessing requirements to scale to practical quantum advantage,Beverland et al.,2022,,registered,Full-stack resource requirements,logical qubits; physical qubits; runtime; stack comparison,Use for stack/resource framing.
ibm-quantum-roadmap-2026-2029,official_roadmap,IBM Quantum hardware and roadmap,IBM,2026,https://www.ibm.com/quantum/hardware,reviewed,Near-term advantage and FTQC roadmap,near-term quantum advantage; FTQC; roadmap year; qubits/gates,IBM states near-term quantum advantage tools by end-2026 and first large-scale FTQC by 2029.
ibm-technology-atlas-quantum,official_roadmap,Quantum Roadmap - IBM Technology Atlas,IBM,2026,https://www.ibm.com/roadmaps/quantum/,reviewed,FTQC logical-qubit and gate roadmap,logical qubits; gates; Starling 2029; Blue Jay 2033+,"Use as roadmap-stage evidence, not guaranteed capability."
ibm-large-scale-ftqc-2025,official_blog,How IBM will build the world first large-scale fault-tolerant quantum computer,IBM,2025,https://www.ibm.com/quantum/blog/large-scale-ftqc,reviewed,FTQC roadmap and error-correction framing,logical qubits; 100 million gates; FTQC by 2029,Use for FTQC candidate stage.
ionq-roadmap,official_roadmap,Roadmap,IonQ,2026,https://www.ionq.com/roadmap,reviewed,Alternative vendor roadmap toward fault tolerance,physical qubits; logical qubits; 2030 roadmap,Use cautiously as vendor roadmap.
qedc-benchmark-suite,benchmark_resource,QED-C Benchmark suite,Quantum Benchmark Zoo / QED-C,2026,https://quantumbenchmarkzoo.org/content/benchmarking-tools/benchmark-suites/QED-C,reviewed,Benchmark suite and application-oriented benchmarking,volumetric benchmarks; optimization benchmark; performance profiles,Use as benchmark methodology reference.
nasa-tra-guide-2020,official_guide,Technology Readiness Assessment Best Practices Guide,NASA,2020,https://ntrs.nasa.gov/citations/20205003605,reviewed,TRL definitions and readiness-assessment practice,TRL 1-9; maturity assessment; evidence criteria,"Use to explain why this study adapts readiness concepts but does not claim formal TRL certification."
doe-qis-applications-roadmap-2024,official_roadmap,2024 Quantum Information Science Applications Roadmap,U.S. Department of Energy,2024,https://www.quantum.gov/wp-content/uploads/2024/12/DOE_QIS_Roadmap_Final.pdf,reviewed,Quantum applications roadmap and technical milestones,application challenges; guideposts; milestones; fault-tolerant quantum computing,"Use as neutral roadmap-stage evidence alongside vendor roadmaps."
