source_id,source_type,title,author_or_organization,year,url_or_path,status,relevance_to_social_stage,variables_expected,notes
iea-global-ev-outlook-2026,official_report,Global EV Outlook 2026,International Energy Agency,2026,,reviewed,Global EV adoption and charging infrastructure context,EV sales; EV stock; charging infrastructure; oil displacement; policy context,"IEA data explorer explicitly covers EV sales, stock, charging infrastructure, and oil displacement. Use for social-stage context, not direct K estimation."
iea-ev-charging-2026,official_report,Electric vehicle charging chapter - Global EV Outlook 2026,International Energy Agency,2026,,reviewed,Charging infrastructure maturity and charging capacity,charging speed; public charging capacity; charging points; LDV charging context,IEA reports average charging speed and public charging capacity per electric LDV increasing from 2024 to 2025. Use as charging-infrastructure stage evidence.
nrel-mdhd-charging-2024,technical_report,Electric Medium- and Heavy-Duty Vehicle Charging Infrastructure Attributes and Development,NREL / OSTI,2024,,reviewed,Medium/heavy-duty fleet charging and depot/infrastructure constraints,MD/HD vehicle classes; depot charging; duty cycles; fleet size; infrastructure requirements,"Report emphasizes diverse operational requirements, duty cycles, fleet sizes, and charging requirements for MD/HD vehicles."
joint-office-2030-charging-network,official_report,The 2030 National Charging Network: Estimating U.S. Light-Duty Demand for Electric Vehicle Charging Infrastructure,Joint Office / NREL,2023,,reviewed,Charging-network planning as a system-stage constraint,PEV stock scenario; public charging network; investment; regional built environment,Use as infrastructure-stage evidence. It estimates charging needs for 30-42 million PEVs by 2030 but should not be converted into VRP K.
wef-urban-logistics-2024,report,Transforming Urban Logistics: Sustainable and Efficient Last-Mile Delivery in Cities,World Economic Forum,2024,,to_review,Urban logistics and last-mile delivery constraints,last-mile delivery; urban logistics; emissions; EV vans; delivery density,Use for social-stage framing after PDF/source verification.
cevrptw-customer-satisfaction-2025,paper,Electric Vehicle Routing with Time Windows and Charging Stations from the Perspective of Customer Satisfaction,Applied Sciences,2025,,reviewed,EVRP/CVRP constraints in last-mile logistics,capacity; time windows; charge status; depot; customer satisfaction; last-mile logistics,Useful for mapping social-stage constraints to EVRP variables.
evrptw-charging-models-2024,paper,Mathematical models for the electric vehicle routing problem with time windows considering different aspects of the charging process,Operational Research,2024,,reviewed,EVRPTW charging-process and SOC modeling,SOC; recharging process; linear/nonlinear charging; time windows,Use for EV-integrated routing stage and formulation variables.
dvrp-2013-pillac,review,A review of dynamic vehicle routing problems,Pillac et al.,2013,,reviewed,Dynamic routing and reoptimization as logistics workflow pressure,dynamic requests; information evolution; degree of dynamism; real-time routing,Use for large_scale_dynamic_ev_logistics and reoptimization-frequency evidence.
evrptw-2014-schneider,paper,The Electric Vehicle-Routing Problem with Time Windows and Recharging Stations,Schneider et al.,2014,,reviewed,Canonical EVRPTW formulation with charging stations and time windows,recharging stations; battery capacity; freight capacity; customer time windows,Use as foundational EVRP formulation source linking social constraints to EVRP variables.
commercial-ev-routing-urban-2020,conference_chapter,Commercial Electric Vehicle Routing in Urban Logistics: A Systematic Literature Review,Frederhausen and Klumpp,2020,,reviewed,Commercial EV routing in urban logistics,urban logistics; commercial EV routing; last-mile constraints; sustainability,Use for urban_constrained_logistics and EV-integrated routing social-stage framing.
