concept,definition,figure_1_assignment_rule,interpretation_limit
QRL1,"QAOA, QUBO/Ising/HOBO, benchmark methodology, or resource formula is defined.",Theory / method rows; definition or methodology evidence.,Defines what could be measured; does not demonstrate executable routing performance.
QRL2,Quantum routing algorithm is evaluated on a classical simulator for small instances.,validation_stage == Classical simulation.,Simulation evidence does not show hardware-aware workflow or operational utility.
QRL3,"Hardware execution, hardware-targeted transpilation, or hardware-platform-aware simulator checks are included.",validation_stage == Hardware run / target or Simulator + hardware check.,Hardware-aware evidence can still be very small-scale or decomposed.
QRL4,"Qubits, depth, gate budget, or related resources are estimated for a larger or application-relevant benchmark instance.",validation_stage == Resource estimation.,"Resource estimate only; not hardware execution, deployment, or utility evidence."
QRL5,"Application-level utility, classical baseline comparison, or fault-tolerant/full-stack assumptions are included.",Defined in readiness registry; not assigned to current Figure 1 VRP width rows.,Application-specific VRP utility evidence is currently limited.
SRL1,"Small fleet, small customer set, static routing, and limited constraints.",Small static VRP rows without explicit operational constraints.,Toy-scale relevance only; not evidence for operational logistics.
SRL2,"Urban or commercial routing with capacity, time windows, depot constraints, or service constraints.","VRPTW, CVRP/capacity, HVRP/truck, or decomposed constrained-routing rows.",Constraint-rich routing does not automatically mean EV charging or dynamic operation.
SRL3,"SOC, charging station choice, charging time, depot charging, or grid/depot capacity affect routing.",Target level for EVRP-specific requirements; current Figure 1 rows rarely contain these conditions directly.,Requires explicit EV charging/SOC evidence to assign at row level.
SRL4,"Large-scale or dynamic EV logistics with changing demand, traffic, charging congestion, and frequent reoptimization.",Golden_5 CVRP resource-estimate rows are assigned here as benchmark-scale resource pressure.,"High SRL score here means benchmark-scale problem pressure, not operational proof."
SRL5,"TMS/dispatch workflow, operational data, constraints, KPIs, and classical baselines are ready for deployment-grade comparison.",Defined as a future comparison target; not assigned to current Figure 1 rows.,Social TMS/fleet-operation primary sources still need further support.
width / qubits,Number of qubits reported by a source for encoding or executing a given problem instance.,,"Not identical to depth, runtime, gate count, shots, or normalized physical/logical capability."
width_numeric,Numeric qubit count extracted for plotting Figure 1.,"^\s*([0-9][0-9,]*)\s*qubits?",Formula-only rows or non-numeric descriptions are excluded from the width plot.
