edge_id,source_node,target_node,edge_type,evidence_strength,plausibility_low,plausibility_high,source_id,rationale,assumptions,review_status,weight_source,plausibility_low_before,plausibility_high_before,plausibility_low_after,plausibility_high_after,reviewer_rationale,review_date,expert_id_anonymized
edge_main_stage_vrp_stage_urban,stage_vrp,stage_urban,main_pathway,medium,,,srl_qrl_requirement_evidence_network_design_rules_v2.md,+ urban constraints,"Representative connection pathway, not deterministic future order.",not_reviewed,design_rule_and_srl_qrl_alignment,,,,,,,
edge_main_stage_urban_stage_ev,stage_urban,stage_ev,main_pathway,medium,,,srl_qrl_requirement_evidence_network_design_rules_v2.md,+ EV/SOC/charging constraints,"Representative connection pathway, not deterministic future order.",not_reviewed,design_rule_and_srl_qrl_alignment,,,,,,,
edge_main_stage_ev_stage_dynamic,stage_ev,stage_dynamic,main_pathway,medium,,,srl_qrl_requirement_evidence_network_design_rules_v2.md,+ traffic/demand/reoptimization,"Representative connection pathway, not deterministic future order.",not_reviewed,design_rule_and_srl_qrl_alignment,,,,,,,
edge_main_stage_dynamic_stage_operation,stage_dynamic,stage_operation,main_pathway,medium,,,srl_qrl_requirement_evidence_network_design_rules_v2.md,+ workflow/KPI/deployment,"Representative connection pathway, not deterministic future order.",not_reviewed,design_rule_and_srl_qrl_alignment,,,,,,,
edge_requirement_stage_vrp_req_customers,stage_vrp,req_customers,requirement_association,medium,,,REQ-01,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_vrp_req_vehicles,stage_vrp,req_vehicles,requirement_association,medium,,,REQ-02,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_vrp_req_static,stage_vrp,req_static,requirement_association,medium,,,static routing,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_urban_req_capacity,stage_urban,req_capacity,requirement_association,high,,,REQ-04,Priority class from preceding organizing result; gap score=0.0.,"Requirement association, not route success probability.",not_reviewed,existing_social_data_and_evrp_organizing_results,,,,,,,
edge_requirement_stage_urban_req_time,stage_urban,req_time,requirement_association,high,,,REQ-09,Priority class from preceding organizing result; gap score=0.4836666666666667.,"Requirement association, not route success probability.",not_reviewed,existing_social_data_and_evrp_organizing_results,,,,,,,
edge_requirement_stage_urban_req_depot,stage_urban,req_depot,requirement_association,medium,,,depot,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_urban_req_service,stage_urban,req_service,requirement_association,medium,,,service time,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_urban_req_distance,stage_urban,req_distance,requirement_association,high,,,REQ-08,Priority class from preceding organizing result; gap score=0.3853333333333333.,"Requirement association, not route success probability.",not_reviewed,existing_social_data_and_evrp_organizing_results,,,,,,,
edge_requirement_stage_ev_req_soc,stage_ev,req_soc,requirement_association,high,,,REQ-05,Priority class from preceding organizing result; gap score=0.7706666666666667.,"Requirement association, not route success probability.",not_reviewed,existing_social_data_and_evrp_organizing_results,,,,,,,
edge_requirement_stage_ev_req_battery,stage_ev,req_battery,requirement_association,high,,,REQ-05,Priority class from preceding organizing result; gap score=0.7706666666666667.,"Requirement association, not route success probability.",not_reviewed,existing_social_data_and_evrp_organizing_results,,,,,,,
edge_requirement_stage_ev_req_energy,stage_ev,req_energy,requirement_association,high,,,REQ-06,Priority class from preceding organizing result; gap score=0.570962962962963.,"Requirement association, not route success probability.",not_reviewed,existing_social_data_and_evrp_organizing_results,,,,,,,
edge_requirement_stage_ev_req_charger,stage_ev,req_charger,requirement_association,high,,,REQ-03,Priority class from preceding organizing result; gap score=0.0239259259259259.,"Requirement association, not route success probability.",not_reviewed,existing_social_data_and_evrp_organizing_results,,,,,,,
edge_requirement_stage_ev_req_charge_time,stage_ev,req_charge_time,requirement_association,medium,,,charging time,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
edge_requirement_stage_dynamic_req_traffic,stage_dynamic,req_traffic,requirement_association,medium,,,traffic variation,Requirement association from social-side extraction and EVRP organizing results.,"Requirement association, not route success probability.",not_reviewed,design_rule_and_social_variable_extraction,,,,,,,
