function_name,module_path,purpose,input_tables,input_columns,output_tables,output_columns,deterministic_or_stochastic,random_seed,formula_or_algorithm,validation,source_file_sha256,git_commit
prepare_population_mesh,05_src/scenario_generation/scenario_utils.py,Validate and prepare population mesh cells for weighted sampling.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,deterministic,Explicit in notebook/arguments where applicable,prepare population mesh,dynamic notebook tests and stored-result comparison,ae9225197a77b0c340eb2faa027b88dcfaa59957068b1a3bf60969de4803005b,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
generate_synthetic_customers,05_src/scenario_generation/scenario_utils.py,Generate paired synthetic customer configurations.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,stochastic with explicit seed,Explicit in notebook/arguments where applicable,generate synthetic customers,dynamic notebook tests and stored-result comparison,ae9225197a77b0c340eb2faa027b88dcfaa59957068b1a3bf60969de4803005b,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
build_eligible_charger_candidates,05_src/scenario_generation/scenario_utils.py,Apply condition-specific charger screening without claiming availability.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,deterministic,Explicit in notebook/arguments where applicable,build eligible charger candidates,dynamic notebook tests and stored-result comparison,ae9225197a77b0c340eb2faa027b88dcfaa59957068b1a3bf60969de4803005b,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
select_baseline_vehicle,05_src/scenario_generation/scenario_utils.py,Select one coherent vehicle scenario instead of combining minima/maxima.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,deterministic,Explicit in notebook/arguments where applicable,select baseline vehicle,dynamic notebook tests and stored-result comparison,ae9225197a77b0c340eb2faa027b88dcfaa59957068b1a3bf60969de4803005b,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
build_analysis_configurations,05_src/scenario_generation/scenario_utils.py,Build the full customer x vehicle x charger factorial design.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,deterministic,Explicit in notebook/arguments where applicable,build analysis configurations,dynamic notebook tests and stored-result comparison,ae9225197a77b0c340eb2faa027b88dcfaa59957068b1a3bf60969de4803005b,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
construct_route_proxies,05_src/scenario_generation/scenario_utils.py,Construct KMeans/nearest-neighbour route proxies and traceable edges.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,deterministic,Explicit in notebook/arguments where applicable,construct route proxies,dynamic notebook tests and stored-result comparison,ae9225197a77b0c340eb2faa027b88dcfaa59957068b1a3bf60969de4803005b,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
evaluate_routes_by_condition,05_src/scenario_generation/scenario_utils.py,Evaluate route proxies under each analytical charger condition.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,deterministic,Explicit in notebook/arguments where applicable,evaluate routes by condition,dynamic notebook tests and stored-result comparison,ae9225197a77b0c340eb2faa027b88dcfaa59957068b1a3bf60969de4803005b,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
build_constraint_evaluations,05_src/sensitivity/monte_carlo_utils.py,Convert wide route results to auditable long constraint evaluations.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,deterministic,Explicit in notebook/arguments where applicable,build constraint evaluations,dynamic notebook tests and stored-result comparison,814562c2de3118c1bb8b25a33f60b0429d09d8d03cb79043db090677f1fd8fbb,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
build_case_rates,05_src/sensitivity/monte_carlo_utils.py,Calculate one unmet rate per scenario/seed conditional case.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,deterministic,Explicit in notebook/arguments where applicable,build case rates,dynamic notebook tests and stored-result comparison,814562c2de3118c1bb8b25a33f60b0429d09d8d03cb79043db090677f1fd8fbb,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
cluster_bootstrap_constraint_summary,05_src/sensitivity/monte_carlo_utils.py,Summarize constraints with seed-cluster bootstrap confidence intervals.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,stochastic with explicit seed,Explicit in notebook/arguments where applicable,cluster bootstrap constraint summary,dynamic notebook tests and stored-result comparison,814562c2de3118c1bb8b25a33f60b0429d09d8d03cb79043db090677f1fd8fbb,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
run_oat_sensitivity,05_src/sensitivity/monte_carlo_utils.py,Run three-level one-at-a-time sensitivity on paired route proxies.,See function signature and notebook call,Validated by implementation,See notebook assignment,Validated after generation,deterministic,Explicit in notebook/arguments where applicable,run oat sensitivity,dynamic notebook tests and stored-result comparison,814562c2de3118c1bb8b25a33f60b0429d09d8d03cb79043db090677f1fd8fbb,368d995f2ccba5e3a89b8d68cd5dbe7b1df0939e
